text	set	id	type
<br><img src=""silver.png"">: Choose one: each other player draws a card or each other player discards a card.
<br>Cost: 5
<br>
<br><b>Impossible Trick Shot</b> (1 copy)
<br><img src=""silver.png"">
<br>5 Attack
<br>Whenever you defeat a Villain or Mastermind this turn, rescue three Bystanders.
<br>Cost: 7
<br>"	Base	Hawkeye (B)	Heroes

"<font size='5'>Hulk</font>
<br><font size='3'><i>Avengers</i></font>
<br>
<br><b>Growing Anger</b> (5 copies)
<br><img src=""green.png"">
<br>2+ Attack
<br><img src=""green.png"">: You get +1 Attack.
<br>Cost: 3
<br><font size='1'><i>Don't make Hulk even mildly inconvenienced. You wouldn't like him when he's mildly inconvenienced...</i></font>
<br><font size='1'><i>3D alt art flavor text: You won't like me when I'm angry.</i></font>
<br>
<br><b>Unstoppable Hulk</b> (5 copies)
<br><img src=""yellow.png"">
<br>2+ Attack
<br>You may KO a Wound from your hand or discard pile. If you do, you get +2 Attack.
<br>Cost: 4
<br>
<br><b>Crazed Rampage</b> (3 copies)
<br><img src=""green.png"">
<br>4 Attack
<br>Each player gains a Wound.
<br>Cost: 5
<br><font size='1'><i>Hulk's rages tear everything apart: Enemies. Friends. Pants.</i></font>
<br>
<br><b>Hulk Smash!</b> (1 copy)
<br><img src=""green.png"">
<br>5+ Attack
<br><img src=""green.png"">: You get +5 Attack.
<br>Cost: 8
<br><font size='1'><i>""PUNY HUMANS! HULK IS THE STRONGEST ONE THERE IS!""</i></font>
<br>"	Base	Hulk (B)	Heroes

"<font size='5'>Iron Man</font>
<br><font size='3'><i>Avengers</i></font>
<br>
<br><b>Endless Invention</b> (5 copies)
<br><img src=""silver.png"">
<br>Draw a card.
<br><img src=""silver.png"">: Draw another card.
<br>Cost: 3
<br>
<br><b>Repulsor Rays</b> (5 copies)
<br><img src=""blue.png"">
<br>2+ Attack
<br><img src=""blue.png"">: You get +1 Attack.
<br>Cost: 3
<br><font size='1'><i>Repulsor ray technology has many peaceful applications. This is not one of them.</i></font>
<br>
<br><b>Arc Reactor</b> (3 copies)
<br><img src=""silver.png"">
<br>3+ Attack
<br><img src=""silver.png"">: You get +1 Attack for each other <img src=""silver.png""> Hero you played this turn.
<br>Cost: 5
<br>
<br><b>Quantum Breakthrough</b> (1 copy)
<br><img src=""silver.png"">
<br>Draw two cards.
<br><img src=""silver.png"">: Draw two more cards.
<br>Cost: 7
<br>"	Base	Iron Man (B)	Heroes

"<font size='5'>Nick Fury</font>
<br><font size='3'><i>S.H.I.E.L.D.</i></font>
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Battlefield Promotion</b> (5 copies)
<br><img src=""red.png"">
<br>You may KO a S.H.I.E.L.D. Hero from your hand or discard pile. If you do, you may gain a S.H.I.E.L.D. Officer to your hand.
<br>Cost: 4
<br>
<br><b>High-Tech Weaponry</b> (5 copies)
<br><img src=""silver.png"">
<br>2+ Attack
<br><img src=""silver.png"">: You get +1 Attack.
<br>Cost: 3
<br><font size='1'><i>Fury always budgets one extra prototype for his personal collection.</i></font>
<br>
<br><b>Legendary Commander</b> (3 copies)
<br><img src=""green.png"">
<br>1+ Attack
<br>You get +1 Attack for each other S.H.I.E.L.D. Hero you played this turn.
<br>Cost: 6
<br>
<br><b>Pure Fury</b> (1 copy)
<br><img src=""silver.png"">
<br>Defeat any Villain or Mastermind whose Attack is less than the number of S.H.I.E.L.D. Heroes in the KO pile.
<br>Cost: 8
<br>"	Base	Nick Fury (B)	Heroes

"<font size='5'>Rogue</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Borrowed Brawn</b> (5 copies)
<br><img src=""green.png"">
<br>1+ Attack
<br><img src=""green.png"">: You get +3 Attack.
<br>Cost: 4
<br><font size='1'><i>When Rogue steals super strength, enemies get super scared.</i></font>
<br>
<br><b>Energy Drain</b> (5 copies)
<br><img src=""red.png"">
<br>2+ Recruit
<br><img src=""red.png"">: You may KO a card from your hand or discard pile. If you do, you get +1 Recruit.
<br>Cost: 3
<br>
<br><b>Copy Powers</b> (3 copies)
<br><img src=""red.png"">
<br>Play this card as a copy of another Hero you played this turn. This card is both <img src=""red.png""> and the color you copy.
<br>Cost: 5
<br>
<br><b>Steal Abilities</b> (1 copy)
<br><img src=""green.png"">
<br>4 Attack
<br>Each player discards the top card of their deck. Play a copy of each of those cards.
<br>Cost: 8
<br>"	Base	Rogue (B)	Heroes

"<font size='5'>Spider-Man</font>
<br><font size='3'><i>Spider Friends</i></font>
<br>
<br><b>Astonishing Strength</b> (5 copies)
<br><img src=""green.png"">
<br>1 Recruit
<br>Reveal the top card of your deck. If that card costs 2 or less, draw it.
<br>Cost: 2
<br>
<br><b>Great Responsibility</b> (5 copies)
<br><img src=""yellow.png"">
<br>1 Attack
<br>Reveal the top card of your deck. If that card costs 2 or less, draw it.
<br>Cost: 2
<br>
<br><b>Web-Shooters</b> (3 copies)
<br><img src=""silver.png"">
<br>Rescue a Bystander.
<br>Reveal the top card of your deck. If that card costs 2 or less, draw it.
<br>Cost: 2
<br>
<br><b>The Amazing Spider-Man</b> (1 copy)
<br><img src=""red.png"">
<br>Reveal the top three cards of your deck. Put any that cost 2 or less into your hand. Put the rest back in any order.
<br>Cost: 2
<br>"	Base	Spider-Man (B)	Heroes

"<font size='5'>Storm</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Gathering Stormclouds</b> (5 copies)
<br><img src=""blue.png"">
<br>2 Recruit
<br><img src=""blue.png"">: Draw a card.
<br>Cost: 3
<br><font size='1'><i>Two little raindrops. Then two billion.</i></font>
<br>
<br><b>Lightning Bolt</b> (5 copies)
<br><img src=""blue.png"">
<br>2 Attack
<br>Any Villain you fight on the Rooftops this turn gets -2 Attack.
<br>Cost: 4
<br>
<br><b>Spinning Cyclone</b> (3 copies)
<br><img src=""red.png"">
<br>4 Attack
<br>You may move a Villain to a new city space. Rescue any Bystanders captured by that Villain. (If you move a Villain to a city space that already has a Villain, swap them.)
<br>Cost: 6
<br>
<br><b>Tidal Wave</b> (1 copy)
<br><img src=""blue.png"">
<br>5 Attack
<br>Any Villain you fight on the Bridge this turn gets -2 Attack.
<br><img src=""blue.png"">: The Mastermind gets -2 Attack this turn.
<br>Cost: 7
<br>"	Base	Storm (B)	Heroes

"<font size='5'>Thor</font>
<br><font size='3'><i>Avengers</i></font>
<br>
<br><b>Odinson</b> (5 copies)
<br><img src=""green.png"">
<br>2+ Recruit
<br><img src=""green.png"">: You get +2 Recruit.
<br>Cost: 3
<br><font size='1'><i>""Whosoever holds the hammer, if he be worthy, shall possess the power of Thor.""</i></font>
<br>
<br><b>Surge of Power</b> (5 copies)
<br><img src=""blue.png"">
<br>2 Recruit
<br>0+ Attack
<br>If you made 8 or more Recruit this turn, you get +3 Attack.
<br>Cost: 4
<br>
<br><b>Call Lightning</b> (3 copies)
<br><img src=""blue.png"">
<br>3+ Attack
<br><img src=""blue.png"">: You get +3 Attack.
<br>Cost: 6
<br><font size='1'><i>Lightning never strikes twice. Thor never needs to.</i></font>
<br>
<br><b>God of Thunder</b> (1 copy)
<br><img src=""blue.png"">
<br>5 Recruit
<br>0+ Attack
<br>You can use Recruit as Attack this turn.
<br>Cost: 8
<br><font size='1'><i>They call him the God of Thunder. His enemies better start praying.</i></font>
<br>"	Base	Thor (B)	Heroes

"<font size='5'>Wolverine</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Healing Factor</b> (5 copies)
<br><img src=""yellow.png"">
<br>2 Attack
<br>You may KO a Wound from your hand or discard pile. If you do, draw a card.
<br>Cost: 3
<br>
<br><b>Keen Senses</b> (5 copies)
<br><img src=""yellow.png"">
<br>1 Attack
<br><img src=""yellow.png"">: Draw a card.
<br>Cost: 2
<br><font size='1'><i>The only thing scarier than Wolverine tracking you is Wolverine finding you.</i></font>
<br>
<br><b>Frenzied Slashing</b> (3 copies)
<br><img src=""yellow.png"">
<br>2 Attack
<br><img src=""yellow.png"">: Draw two cards.
<br>Cost: 5
<br><font size='1'><i>Some villains get torn apart by guilt. Others get torn apart by Wolverine.</i></font>
<br>
<br><b>Berserker Rage</b> (1 copy)
<br><img src=""yellow.png"">
<br>0+ Attack
<br>Draw three cards.
<br><img src=""yellow.png"">: You get +1 Attack for each extra card you've drawn this turn.
<br>Cost: 8
<br>
<br>
<br>"	Base	Wolverine (B)	Heroes

"<font size='5'>Angel</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Diving Catch</b> (5 copies)
<br><img src=""green.png"">
<br>2 Recruit
<br>When a card effect causes you to discard this card, rescue a Bystander and draw two cards.
<br>Cost: 4
<br>
<br><b>High-Speed Chase</b> (5 copies)
<br><img src=""red.png"">
<br>Draw two cards, then discard a card.
<br>Cost: 3
<br>
<br><b>Drop off a Friend</b> (3 copies)
<br><img src=""yellow.png"">
<br>2+ Attack
<br>You may discard a card. You get +Attack equal to that card's Cost.
<br>Cost: 5
<br>
<br><b>Strength of Spirit</b> (1 copy)
<br><img src=""green.png"">
<br>4 Attack
<br>Discard any number of cards. Draw that many cards.
<br>Cost: 7
<br>"	Dark City	Angel (DC)	Heroes

"<font size='5'>Bishop</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Absorb Energies</b> (5 copies)
<br><img src=""red.png"">
<br>0+ Recruit
<br>2 Attack
<br>Whenever a card you own is KO'd this turn, you get +2 Recruit.
<br>Cost: 3
<br>
<br><b>Whatever the Cost</b> (5 copies)
<br><img src=""blue.png"">
<br>Draw a card.
<br><img src=""red.png"">: You may KO a card from your hand or discard pile.
<br>Cost: 2
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Concussive Blast</b> (3 copies)
<br><img src=""blue.png"">
<br>3+ Attack
<br><img src=""blue.png"">, <img src=""blue.png"">: You get +3 Attack.
<br>Cost: 5
<br><font size='1'><i>Bishop absorbs energy, channeling it back into devastating blasts.</i></font>
<br>
<br><b>Firepower from the Future</b> (1 copy)
<br><img src=""silver.png"">
<br>4+ Attack
<br>Discard the top four cards of your deck. You get +Attack equal to those cards' printed Attack.
<br>X-Men: KO any number of those cards.
<br>Cost: 7
<br><font size='1'><i>Art contains a gun</i></font>
<br>"	Dark City	Bishop (DC)	Heroes

"<font size='5'>Blade</font>
<br><font size='3'><i>Marvel Knights</i></font>
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Night Hunter</b> (5 copies)
<br><img src=""green.png"">
<br>0+ Recruit
<br>2 Attack
<br>Whenever you defeat a Villain in the Sewers or Rooftops this turn, you get +2 Recruit.
<br>Cost: 4
<br>
<br><b>Stalk the Prey</b> (5 copies)
<br><img src=""red.png"">
<br>2 Attack
<br>You may move a Villain to an adjacent city space. If another Villain is already there, swap them.
<br>Cost: 3
<br>
<br><b>Nowhere to Hide</b> (3 copies)
<br><img src=""silver.png"">
<br>3 Attack
<br>Whenever you defeat a Villain in the Sewers or Rooftops this turn, draw two cards.
<br>Cost: 6
<br>
<br><b>Vampiric Surge</b> (1 copy)
<br><img src=""yellow.png"">
<br>0+ Attack
<br>You get +1 Attack for each Villain in your Victory Pile.
<br>Cost: 7
<br>"	Dark City	Blade (DC)	Heroes

"<font size='5'>Cable</font>
<br><font size='3'><i>X-Force</i></font>
<br>
<br><b>Disaster Survivalist</b> (5 copies)
<br><img src=""silver.png"">
<br>2 Recruit
<br>When a Master Strike is played, before it takes effect, you may discard this card. If you do, draw three extra cards at the end of this turn.
<br>Cost: 3
<br>
<br><b>Strike at the Heart of Evil</b> (5 copies)
<br><img src=""blue.png"">
<br>2+ Attack
<br>You get +2 Attack only when fighting Masterminds.
<br>Cost: 4
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Rapid Response Force</b> (3 copies)
<br><img src=""red.png"">
<br>3+ Attack
<br><i>Teleport</i>
<br>X-Force: You get +1 Attack for each other X-Force Hero you played this turn.
<br>Cost: 6
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Army of One</b> (1 copy)
<br><img src=""silver.png"">
<br>5+ Attack
<br>KO any number of cards from your hand. You get +1 Attack for each card KO'd this way.
<br>Cost: 8
<br><font size='1'><i>Art contains a gun</i></font>
<br>"	Dark City	Cable (DC)	Heroes

"<font size='5'>Colossus</font>
<br><font size='3'><i>X-Force</i></font>
<br>
<br><b>Draw Their Fire</b> (5 copies)
<br><img src=""green.png"">
<br>3 Attack
<br>You gain a Wound.
<br>Cost: 1
<br><font size='1'><i>When enemies get charged by a huge steel titan, that tends to occupy their attention.</i></font>
<br>
<br><b>Invulnerability</b> (5 copies)
<br><img src=""green.png"">
<br>2 Recruit
<br>If you would gain a Wound, you may discard this card instead. If you do, draw two cards.
<br>Cost: 3
<br>
<br><b>Silent Statue</b> (3 copies)
<br><img src=""red.png"">
<br>4+ Attack
<br><img src=""green.png"">: You get +2 Attack.
<br>Cost: 6
<br><font size='1'><i>No one expects an enormous metal brawler to take the stealthy approach.</i></font>
<br>
<br><b>Russian Heavy Tank</b> (1 copy)
<br><img src=""green.png"">
<br>6 Attack
<br>If another player would gain a Wound, you may reveal this card to gain that Wound and draw a card.
<br>Cost: 8
<br>"	Dark City	Colossus (DC)	Heroes

"<font size='5'>Daredevil</font>
<br><font size='3'><i>Marvel Knights</i></font>
<br>
<br><b>Backflip</b> (5 copies)
<br><img src=""green.png"">
<br>2 Recruit
<br>When you play Backflip, the next Hero you recruit this turn goes on top of your deck.
<br>Cost: 3
<br>
<br><b>Radar Sense</b> (5 copies)
<br><img src=""yellow.png"">
<br>2+ Attack
<br>Choose a number, then reveal the top card of your deck. If the card is that Cost, you get +2 Attack.
<br>Cost: 4
<br>
<br><b>Blind Justice</b> (3 copies)
<br><img src=""red.png"">
<br>4 Attack
<br>Choose a number, then reveal the top card of your deck. If the card is that Cost, draw it.
<br>Cost: 6
<br>
<br><b>The Man Without Fear</b> (1 copy)
<br><img src=""yellow.png"">
<br>7 Attack
<br>Choose a number, then reveal the top card of your deck. If the card is that Cost, draw it and repeat this process.
<br>Cost: 8
<br>"	Dark City	Daredevil (DC)	Heroes

"<font size='5'>Domino</font>
<br><font size='3'><i>X-Force</i></font>
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Lucky Break</b> (5 copies)
<br><img src=""silver.png"">
<br>0+ Recruit
<br>0+ Attack
<br>Draw a card.
<br>X-Force: <i>Versatile 1</i>
<br>Cost: 1
<br>
<br><b>Ready for Anything</b> (5 copies)
<br><img src=""yellow.png"">
<br>0+ Recruit
<br>0+ Attack
<br><i>Versatile 2</i>
<br>Cost: 3
<br><font size='1'><i>With Domino's mutant probability powers, every day is the luckiest day of her life.</i></font>
<br>
<br><b>Specialized Ammunition</b> (3 copies)
<br><img src=""silver.png"">
<br>0+ Recruit
<br>0+ Attack
<br>You may discard a card from your hand. If that card had a Recruit icon, you get +4 Recruit. If that card had an Attack icon, you get +4 Attack.
<br>Cost: 5
<br>
<br><b>Against All Odds</b> (1 copy)
<br><img src=""red.png"">
<br>0+ Recruit
<br>0+ Attack
<br><i>Versatile 5</i>
<br>X-Force: This card and each other <i>Versatile</i> ability you use for the rest of this turn produces both Recruit and Attack.
<br>Cost: 7
<br>"	Dark City	Domino (DC)	Heroes

"<font size='5'>Elektra</font>
<br><font size='3'><i>Marvel Knights</i></font>
<br>
<br><b>First Strike</b> (5 copies)
<br><img src=""red.png"">
<br>1+ Attack
<br>If this is the first card you played this turn, you get +1 Attack.
<br>Cost: 1
<br>
<br><b>Ninjitsu</b> (5 copies)
<br><img src=""yellow.png"">
<br>0+ Recruit
<br>Draw a card.
<br><img src=""red.png"">: You get +2 Recruit.
<br>Cost: 2
<br><font size='1'><i>Zen is the absence of motion. Ninjitsu, the absence of stillness.</i></font>
<br>
<br><b>Sai Blades</b> (3 copies)
<br><img src=""yellow.png"">
<br>4+ Attack
<br>You get +1 Attack for each Hero you played this turn that costs 1 or 2.
<br>Cost: 6
<br>
<br><b>Silent Meditation</b> (1 copy)
<br><img src=""yellow.png"">
<br>5+ Recruit
<br>When you play Silent Meditation, the next Hero you recruit this turn goes into your hand.
<br>Marvel Knights: You get +2 Recruit.
<br>Cost: 7
<br>"	Dark City	Elektra (DC)	Heroes

"<font size='5'>Forge</font>
<br><font size='3'><i>X-Force</i></font>
<br>
<br><b>Dirty Work</b> (5 copies)
<br><img src=""silver.png"">
<br>2 Attack
<br><img src=""silver.png"">: Any Villain you fight in the Sewers this turn gets -2 Attack.
<br>Cost: 3
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Reboot</b> (5 copies)
<br><img src=""silver.png"">
<br>2 Recruit
<br><img src=""silver.png"">: You may discard a card. If you do, draw two cards.
<br>Cost: 4
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Overdrive</b> (3 copies)
<br><img src=""silver.png"">
<br>0+ Recruit
<br>0+ Attack
<br><i>Versatile 3</i>
<br>Cost: 5
<br><font size='1'><i>When Forge can't find the turret remote, he just takes a couple of spoons and builds a new one.</i></font>
<br>
<br><b>B.F.G.</b> (1 copy)
<br><img src=""silver.png"">
<br>5 Attack
<br><img src=""silver.png"">, <img src=""silver.png"">: Defeat the Mastermind once for free.
<br>Cost: 7
<br><font size='1'><i>That's a BIG FREAKING GUN!!!!</i></font>
<br><font size='1'><i>Art contains a gun</i></font>
<br>"	Dark City	Forge (DC)	Heroes

"<font size='5'>Ghost Rider</font>
<br><font size='3'><i>Marvel Knights</i></font>
<br>
<br><b>Blazing Hellfire</b> (5 copies)
<br><img src=""blue.png"">
<br>2+ Attack
<br>You may KO a Villain from your Victory Pile. If you do, you get +3 Attack.
<br>Cost: 5
<br>
<br><b>Hell on Wheels</b> (5 copies)
<br><img src=""silver.png"">
<br>2+ Recruit
<br>Marvel Knights: You get +2 Recruit.
<br>Cost: 3
<br><font size='1'><i>Most motorcycles don't drive up walls. Most don't drive into your nightmares.</i></font>
<br>
<br><b>Infernal Chains</b> (3 copies)
<br><img src=""green.png"">
<br>Draw a card.
<br><img src=""green.png"">: Defeat a Villain of 3 Attack or less for free.
<br>Cost: 2
<br>
<br><b>Penance Stare</b> (1 copy)
<br><img src=""blue.png"">
<br>3+ Attack
<br>Each player KOs a Villain from their Victory Pile. You get +1 Attack for each Villain KO'd this way.
<br>Marvel Knights: Put one of those Villains into your Victory Pile.
<br>Cost: 8
<br>"	Dark City	Ghost Rider (DC)	Heroes

"<font size='5'>Iceman</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Deep Freeze</b> (5 copies)
<br><img src=""blue.png"">
<br>0+ Recruit
<br>Draw a card.
<br><img src=""blue.png"">: You get +1 Recruit for each other <img src=""blue.png""> Hero you played this turn.
<br>Cost: 2
<br>
<br><b>Ice Slide</b> (5 copies)
<br><img src=""blue.png"">
<br>2+ Attack
<br><img src=""blue.png"">: You get +1 Attack for each other <img src=""blue.png""> Hero you played this turn.
<br>Cost: 4
<br>
<br><b>Frost Spike Armor</b> (3 copies)
<br><img src=""green.png"">
<br>3 Attack
<br><img src=""blue.png"">: Draw a card for each <img src=""blue.png""> Hero you played this turn.
<br>Cost: 5
<br>
<br><b>Impenetrable Ice Wall</b> (1 copy)
<br><img src=""blue.png"">
<br>7 Attack
<br>If a Villain, Master Strike, or Mastermind Tactic would cause you to gain any Wounds or discard any cards, you may reveal this card instead.
<br>Cost: 8
<br>"	Dark City	Iceman (DC)	Heroes

"<font size='5'>Iron Fist</font>
<br><font size='3'><i>Marvel Knights</i></font>
<br>
<br><b>Focus Chi</b> (5 copies)
<br><img src=""yellow.png"">
<br>0+ Recruit
<br>You get +1 Recruit for each Hero with a different Cost you have.
<br>Cost: 3
<br>
<br><b>Wield the Iron Fist</b> (5 copies)
<br><img src=""green.png"">
<br>0+ Attack
<br>You get +1 Attack for each Hero with a different Cost you have.
<br>Cost: 4
<br>
<br><b>Ancient Legacy</b> (3 copies)
<br><img src=""green.png"">
<br>0+ Recruit
<br>0+ Attack
<br>Draw a card.
<br><img src=""green.png"">, <img src=""green.png"">: <i>Versatile 2</i>
<br>Cost: 1
<br>
<br><b>Living Weapon</b> (1 copy)
<br><img src=""green.png"">
<br>8 Attack
<br>Reveal cards from your deck until you have revealed two cards with the same Cost. Draw all the cards you revealed.
<br>Cost: 9
<br>"	Dark City	Iron Fist (DC)	Heroes

"<font size='5'>Jean Grey</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Psychic Search</b> (5 copies)
<br><img src=""blue.png"">
<br>2 Attack
<br>X-Men: Rescue a Bystander.
<br>Cost: 3
<br><font size='1'><i>Amid violent chaos, a soundless voice leads to safety.</i></font>
<br>
<br><b>Read Your Thoughts</b> (5 copies)
<br><img src=""red.png"">
<br>3+ Recruit
<br>Whenever you rescue a Bystander this turn, you get +1 Recruit.
<br>Cost: 5
<br>
<br><b>Mind Over Matter</b> (3 copies)
<br><img src=""red.png"">
<br>4 Attack
<br>Whenever you rescue a Bystander this turn, draw a card.
<br>Cost: 6
<br>
<br><b>Telekinetic Mastery</b> (1 copy)
<br><img src=""blue.png"">
<br>5+ Attack
<br>Whenever you rescue a Bystander this turn, you get +1 Attack.
<br>X-Men: Rescue a Bystander for each other X-Men Hero you played this turn.
<br>Cost: 7
<br>"	Dark City	Jean Grey (DC)	Heroes

"<font size='5'>Nightcrawler</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Bamf!</b> (5 copies)
<br><img src=""yellow.png"">
<br>2 Recruit
<br><i>Teleport</i>
<br>Cost: 3
<br><font size='1'><i>""Now you see me..."" BAMF!""</i></font>
<br>
<br><b>Blend Into Shadows</b> (5 copies)
<br><img src=""red.png"">
<br>2 Attack
<br><i>Teleport</i>
<br>Cost: 4
<br><font size='1'><i>Sometimes it is best to hide now and fight later.</i></font>
<br>
<br><b>Swashbuckler</b> (3 copies)
<br><img src=""yellow.png"">
<br>3+ Attack
<br><img src=""red.png"">, <img src=""yellow.png"">: You get +3 Attack.
<br>Cost: 5
<br><font size='1'><i>Chivalry wears blue fur.</i></font>
