mmtext	text
Mole Man	"<font size='4'>Mole Man</font>

Mole Man gets +1 Attack for each Subterranea Villain that has escaped.
<b>Always Leads</b>: Subterranea
<b>Master Strike</b>: All Subterranea Villains in the city escape. If any Villains escaped this way, each player gains a Wound.
Attack: 7+
VP: 6

<i>Dig to Freedom</i>
<b>Fight</b>: Each other player chooses a Subterranea Villain in their Victory Pile and puts it into the Escaped Villains pile.

<i>Master of Monsters</i>
<b>Fight</b>: If this is not the final Tactic, reveal the top six cards of the Villain Deck. Play all the Subterranea Villains you revealed. Put the rest on the bottom of the Villain Deck in random order.

<i>Secret Tunnel</i>
<b>Fight</b>: You get +6 Attack usable only against Villains in the Streets.

<i>Underground Riches</i>
<b>Fight</b>: You get +6 Recruit usable only to recruit Heroes in the HQ space under the Streets.


"
Carnage	"<font size='4'>Carnage</font>

<b>Always Leads</b>: Maximum Carnage
<b>Master Strike</b>: Feast on each player. Whenever this Master Strike feasts on a player's 0-cost Hero, that player gains a Wound.
Attack: 9
VP: 6

<i>Drooling Jaws</i>
<b>Fight</b>: Each player reveals the top card of their deck. Then Carnage feasts on the player of your choice.

<i>Endless Hunger</i>
Feast
If Carnage feasts on a 0-cost Hero this way, repeat this process.

<i>Feed Me</i>
Feast
You get +Recruit equal to the Cost of the card Carnage feasts on.

<i>Om Nom Nom</i>
Feast
If Carnage feasts on a 0-cost Hero this way, each other player KOs a Bystander from their Victory Pile.
"
Mysterio	"<font size='4'>Mysterio</font>

<b>Always Leads</b>: Sinister Six
<b>Master Strike</b>: Shuffle this Master Strike into Mysterio's face down Mastermind Tactics. That card becomes a Mastermind Tactic worth 6 VP.
Attack: 8
VP: 6

<i>Blurring Images</i>
<b>Fight</b>: You get +1 Recruit for each Mastermind Tactic Mysterio has left after this one.

<i>Captive Audience</i>
<b>Fight</b>: Rescue a Bystander for each Mastermind Tactic Mysterio has left after this one.

<i>Master of Illusions</i>
<b>Fight</b>: If this is not the final Tactic, shuffle a Master Strike Tactic from each other player's Victory Pile back into Mysterio's Mastermind Tactics.

<i>Mists of Deception</i>
<b>Fight</b>: If this is not the final Tactic, reveal the top five cards of the Villain Deck. Play all the Master Strikes you revealed. Put the rest on the bottom of that deck in random order.


"
Dr. Strange	"<font size='4'>Dr. Strange</font>

<b>Always Leads</b>: Defenders.
Command Strike: Reveal the top three cards of the Adversary Deck. Put the Adversary you revealed with the highest printed Attack on top of that deck. Then play a Plot Twist from among the cards you revealed. Then put the rest of those cards on the bottom of that deck in random order.
Attack: 8
VP: 6

<i>Book of the Vishanti</i>
<b>Fight</b>: Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Ally or discards all the cards in their hand, then draws as many cards as they discarded.

<i>Crimson Bands of Cyttorak</i>
<b>Fight</b>: Each other player reveals their hand, then gains a Bindings for each non-grey Ally that player has.

<i>Eye of Agamotto</i>
<b>Fight</b>: Reveal cards from the Ally Deck equal to the number of players. Put one of those cards into each player's discard pile.

<i>Winds of Watoomb</i>
<b>Fight</b>: After you draw a new hand of cards at the end of this turn, each player simultaneously passes a non-grey Ally from their hand to the hand of the player on their left.
"
Nick Fury	"<font size='4'>Nick Fury</font>

<b>Always Leads</b>: Avengers.
Command Strike: Stack this Strike next to Nick Fury. Then demolish each player once for each Strike stacked here.
Attack: 9
VP: 6

<i>Bounty on Fury's Head</i>
<b>Fight</b>: KO any number of your Hydra Allies. For each Ally you KO'd this way, you may gain a Madame HYDRA.

<i>Purge Hydra</i>
<b>Fight</b>: Each other player reveals their hand and discards two Hydra Allies.

<i>The Avengers Initiative</i>
<b>Fight</b>: Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Ally or chooses an Avengers Adversary from their Victory Pile and it enters the Bridge.

<i>Total Fury</i>
<b>Fight</b>: Defeat an Adversary whose Attack is less than the number of Hydra Allies in the KO pile.
"
Odin	"<font size='4'>Odin</font>

<b>Always Leads</b>: Asgardian Warriors.
Odin gets +1 Attack for each Asgardian Warrior in the city and in the Overrun Pile.
Command Strike: Each player puts an Asgardian Warrior from their Victory Pile into an empty city space. Any player who cannot do so gains a Bindings.
Attack: 10+
VP: 6

<i>Divine Justice</i>
<b>Fight</b>: Each other player with a Bindings in their discard pile gains another Bindings.

<i>Might of Valhalla</i>
<b>Fight</b>: Draw a card for each Asgardian Warrior in your Victory Pile.

<i>Riches of Asgard</i>
<b>Fight</b>: You get +1 Recruit for each Asgardian Warrior in your Victory Pile.

<i>Ride of the Valkyries</i>
<b>Fight</b>: Each other player reveals a Foes of Asgard Ally or discards a card for each Asgardian Warrior in the Overrun Pile.
"
Professor X	"<font size='4'>Professor X</font>

<b>Always Leads</b>: X-men First Class.
Command Strike: Choose the two highest-cost Allies in the Lair. Stack them next to Professor X as ""Telepathic Pawns."" Professor X gets +1 Attack for each Ally stacked next to him. Players can recrut the top Ally in the stack next to Professor X.
Attack: 8
VP: 6

<i>Cerebro Device</i>
<b>Fight</b>: Reveal the top three cards of the Adversary Deck. Play any Adversaries you revealed that have ""X-Treme Attack"". Put the rest back in random order.

<i>Mental Dominance</i>
<b>Fight</b>: Stack the top three cards of the Ally Deck next to Professor X in random order as ""Telepathic Pawns.""

<i>Mightiest Mutant Mind</i>
<b>Fight</b>: Each other player reveals a Brotherhood Ally or stacks a non-grey Ally from their hand next to Professor X as a ""Telepathic Pawn.""

<i>Telepathic Imprisonment</i>
<b>Fight</b>: Each other player reveals a Brotherhood Ally or gains a Bindings.


"
Supreme Intelligence of the Kree	"<font size='4'>Supreme Intelligence of the Kree</font>

<b>Always Leads</b>: Kree Starforce
<b>Master Strike</b>: The Supreme Intelligence gains a Shard. Then each player reveals their hand and discards each with cost equal to, and cost one higher than, the number of Shards on the Supreme Intelligence.
Attack: 9
VP: 6

<i>Combined Knowledge of All Kree</i>
<b>Fight</b>: The Supreme Intelligence gains a Shard for each Kree Villain in the city and/or the Escape Pile.

<i>Cosmic Omniscience</i>
<b>Fight</b>: The Supreme Intelligence gains a Shard for each Master Strike in the KO pile.

<i>Countermeasure Protocols</i>
<b>Fight</b>: The Supreme Intelligence gains a Shard for each Mastermind Tactic (including this one) in any player's Victory Pile.

<i>Guide Kree Evolution</i>
<b>Fight</b>: The Supreme Intelligence and Kree Villains in the city each gain a Shard.
"
Thanos	"<font size='4'>Thanos</font>

<b>Always Leads</b>: Infinity Gems
Thanos gets -2 Attack for each Infinity Gem Artifact card controlled by any player.
<b>Master Strike</b>: Each player reveals their hand and puts one of their non-grey Heroes next to Thanos in a ""Bound Souls"" pile.
Attack: 24
VP: 7

<i>Centuries of Envy</i>
<b>Fight</b>: Each other player discards an Infinity Gem Artifact card they control.

<i>God of Death</i>
<b>Fight</b>: Each other player reveals their hand and gains a Wound for each card that player has with the same card name as any card in Thanos' Bound Souls pile.

<i>Keeper of Souls</i>
<b>Fight</b>: Gain a Hero from Thanos' Bound Souls pile. Then each other player puts a non-grey Hero from their discard pile into Thanos' Bound Souls pile.

<i>The Mad Titan</i>
<b>Fight</b>: Each other player reveals their hand and discards all cards with the same card name as any card in Thanos' Bound Souls pile.


"
Uru-Enchanted Iron Man	"<font size='4'>Uru-Enchanted Iron Man</font>

<b>Always Leads</b>: The Mighty.
Command Strike: Demolish each player. Then stack this Strike next to Iron Man. Uru-Enchanted Iron Man has an Uru-Enchanted Weapon for each Strike stacked here.
Attack: 7*
VP: 6

<i>Armor of the Destroyer</i>
<b>Fight</b>: For each https://cf.geekdo-static.com/mbs/mb_26287_0.png Ally you have, demolish each other player.

<i>Pepper Potts in Rescue Armor</i>
<b>Fight</b>: A Bystander from the Bystander Stack becomes a Command Strike that takes effect immediately.

<i>Quantum Inventions</i>
<b>Fight</b>: Draw two cards. Then, if you reveal a https://cf.geekdo-static.com/mbs/mb_26287_0.png card, draw two more cards.

<i>Repulsor Coils</i>
<b>Fight</b>: Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png ally or gains a Bindings.


"
Madelyne Pryor, Goblin Queen	"<font size='4'>Madelyne Pryor, Goblin Queen</font>

Bystanders captured by Madelyne are ""Demon Goblin"" Villains with 2 Attack. You can fight them to rescue them as Bystanders. You can't fight her while she has any Demon Goblins.
<b>Always Leads</b>: Limbo
<b>Master Strike</b>: Madelyne captures 4 Bystanders. If she already had any Bystanders before that, then each player gains a Wound.
Attack: 10*
VP: 6

<i>City of Demon Goblins</i>
<b>Fight</b>: Madelyne captures five Bystanders.

<i>Corrupted Clone of Jean Grey</i>
<b>Fight</b>: Each other player reveals an X-Men Hero or gains a Wound.

<i>Everyone's a Demon on the Inside</i>
<b>Fight</b>: Madelyne captures a Bystander from each other player's Victory Pile.

<i>Gather the Harvest</i>
<b>Fight</b>: For each Limbo Villain in the city and/or Escape Pile, Madelyne captures a Bystander.
"
Nimrod, Super Sentinel	"<font size='4'>Nimrod, Super Sentinel</font>

You can't fight Nimrod unless you made at least 6 Recruit this turn.
<b>Always Leads</b>: Sentinel Territories
<b>Master Strike</b>: Each player who does not reveal a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero must choose Recruit or Attack, then discard all their cards with that icon.
Attack: 6*
VP: 6

<i>Adapt and Destroy</i>
<b>Fight</b>: Choose Recruit or Attack. Each other player reveals their hand and discards a card with that icon.

<i>Detect Mutation</i>
<b>Fight</b>: Choose Recruit or Attack. Then, reveal the top card of your deck. If that card has that icon, draw it and repeat this process.

<i>Scatter the Mutants</i>
<b>Fight</b>: Choose Recruit or Attack. Put all Heroes from the HQ with that icon on the bottom of the Hero Deck.

<i>Teleport and Incarcerate</i>
<b>Fight</b>: Choose Recruit or Attack. Then, reveal the top card of that Hero Deck. If that card has that icon, gain that card, and Teleport it.
"
Wasteland Hulk	"<font size='4'>Wasteland Hulk</font>

Wasteland Hulk gets +3 Attack for each of his Mastermind Tactics among all players' Victory Piles.
<b>Always Leads</b>: Wasteland
<b>Master Strike</b>: Cross-Dimensional Hulk Rampage
Attack: 7+
VP: 6

<i>Brutal Beating</i>
<b>Fight</b>: Each other player counts the number of Wounds in their discard pile, then discards that many cards.

<i>Memories of Pain</i>
<b>Fight</b>: Each other player puts two Wounds from their discard pile on top of their deck.

<i>Radioactive Regeneration</i>
<b>Fight</b>: KO up to two Wounds from your hand and/or discard pile.

<i>Revert to Bruce Banner</i>
<b>Fight</b>: You gain a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero from the HQ for free.
"
Zombie Green Goblin	"<font size='4'>Zombie Green Goblin</font>

Zombie Green Goblin gets +1 Attack for each Hero in the KO pile that costs 7 or more.
<b>Always Leads</b>: The Deadlands
<b>Master Strike</b>: Rise of the Living Dead. KO each Hero in the HQ that costs 7 or more. Then, each player discards a card for each Hero in the KO pile that costs 7 or more.
Attack: 11+
VP: 6

<i>Army of Cadavers</i>
<b>Fight</b>: Rise of the Living Dead (this effect never makes Mastermind Tactics return.) Then, each other player discards a card for each Villain in the city that has ""Rise of the Living Dead.""

<i>The Hungry Dead</i>
<b>Fight</b>: Rise of the Living Dead (this effect never makes Mastermind Tactics return.) Then, each other player gains a Wound if there are any Villains in the city with ""Rise of the Living Dead"".

<i>Love to Have You for Dinner</i>
<b>Fight</b>: Rise of the Living Dead (this effect never makes Mastermind Tactics return.) Then, reveal the top 5 cards of the Hero Deck. KO all those Heroes that cost 7 or more. Put the rest on the bottom of the Hero Deck in random order.

<i>Reign of Terror</i>
<b>Fight</b>: Rise of the Living Dead (this effect never makes Mastermind Tactics return.) Then, put all Heroes from the HQ that cost 6 or less on the bottom of the Hero Deck.


"
Immortal Emperor Zheng-Zhu	"<font size='4'>Immortal Emperor Zheng-Zhu</font>

7th Circle of Kung-Fu
<b>Always Leads</b>: K'un-Lun
<b>Master Strike</b>: Each player reveals a Hero that costs 7 or more, or they discard down to 3 cards.
Attack: 7+
VP: 5

<i>Ultimate Kung-Fu Mastery</i>
<b>Fight</b>: Each other player reveals a card with ""Circle of Kung-Fu"" from their Victory Pile or gains a Wound.

<i>Emperor's Justice</i>
<b>Fight</b>: Each other player reveals a Marvel Knight Hero or gains a Wound.

<i>Humble the Pretenders</i>
<b>Fight</b>: Each other player reveals a Marvel Knight Hero or discards a card that costs less than 7.

<i>Imperial Edict</i>
<b>Fight</b>: Choose any number of Heroes from the HQ. Put them on the bottom of the Hero Deck in random order.
"
King Hyperion	"<font size='4'>King Hyperion</font>

<b>Always Leads</b>: Utopolis
<b>Master Strike</b>: King Hyperion enters the city if he was not already there. Then, he <i>'charges</i>' three spaces.
Escape: Each player gains a wound. Put King Hyperion on the Mastermind space.
Attack: 12
VP: 6

<i>Worshipped by Millions</i>
<b>Fight</b>: If King Hyperion is in the city, put him back on the Mastermind space and shuffle this Tactic back into his Tactics. If you do, rescue six Bystanders.

<i>Royal Treasury</i>
<b>Fight</b>: If King Hyperion is in the city, put him back on the Mastermind space and shuffle this Tactic back into his Tactics. If you do, you get +5 Recruit.

<i>Monarch of Utopolis</i>
<b>Fight</b>: If King Hyperion is in the city, put him back on the Mastermind space and shuffle this Tactic back into his Tactics. If you do, when you drew a new hand of cards at the end of this turn, draw three extra cards.

<i>Rule with an Iron Fist</i>
<b>Fight</b>: If King Hyperion is in the city, put him back on the Mastermind space and shuffle this Tactic back into his Tactics. If you do, you may defeat a Villain in the city for free.
"
Shiklah, the Demon Bride	"<font size='4'>Shiklah, the Demon Bride</font>

<b>Always Leads</b>: Monster Metropolis
<b>Master Strike</b>: Reveal the top three cards of the Villain Deck. Put all the Scheme Twists you revealed on top of the Villain Deck. Put the rest on the bottom of that deck in random order.
Attack: 9
VP: 6

<i>Enslavement Beam</i>
<b>Fight</b>: <i>'Fateful Resurrection</i>'. If she resurrects, rescue four bystanders.

<i>Shiklah's Husband, Deadpool</i>
<b>Fight</b>: Gain this as a Hero.
---
(Unaffiliated)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
You get +1 Attack for each Hero with an odd-numbered cost you played this turn. <i>(0 is even.)</i>
5+ Attack

<i>Drain Life</i>
<b>Fight</b>: <i>'Fateful Resurrection</i>'. If she resurrects, defeat a Villain in the city for free.

<i>Infernal Power</i>
<b>Fight</b>: <i>'Fateful Resurrection</i>'. If she resurrects, draw two cards.
"
Spider-Queen	"<font size='4'>Spider-Queen</font>

Spider-Queen gets +1 Attack for each Bystander in the Escape pile.
<b>Always Leads</b>: Spider-Infected
<b>Master Strike</b>: Each player puts a Spider-Infected from their Victory Pile into an empty city space. Any player who cannot do so gains a Wound.
Attack: 8+
VP: 6

<i>Sonic Scream</i>
<b>Fight</b>: Reveal the top eight cards of the Villain Deck. Put all the Bystanders you revealed into the Escape pile. Put the rest on the bottom of the Villain Deck in random orders.

<i>Infect the Entire City</i>
<b>Fight</b>: Put a Bystander from the Bystander Deck into the Escape Pile. Then, each Spider-Infected in the city captures a Bystander.

<i>Control Arachnid Genes</i>
<b>Fight</b>: You may gain a Spider-Friend Hero from the HQ.

<i>Web the Skyscrapers</i>
<b>Fight</b>: Each other player reveals a Spider-Friend Hero or puts a Bystander from their Victory Pile into the Escape pile.


"
Arnim Zola	"<font size='4'>Arnim Zola</font>

Ultimate Abomination
<i>Always Leads</i>: Zola's Creations
<i>Master Strike</i>: For each Hero in the HQ that has less than 2 printed Attack, put that Hero on the bottom of the Hero Deck, and each player discards a card of that Hero's cost.
<i>Attack</i>: 6+
<i>VP</i>: 6

<i>Dominate the Weak</i>
<b>Fight</b>: The player of your choice gains a Hero from the HQ that has less than 2 printed Attack.

<i>Computer-Uploaded Genius</i>
<b>Fight</b>: Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or discards a card.

<i>Pet Projects</i>
<b>Fight</b>: Each other player reveals a Zola's Creations Villain from their Victory Pile or gains a Wound.

<i>Crush Pacifist Resistance</i>
<b>Fight</b>: KO up to two of your Heroes that have less than 2 printed Attack.
"
Baron Heinrich Zemo	"<font size='4'>Baron Heinrich Zemo</font>

Whenever you fight a Villain, you may use 2 Recruit to rescue a Bystander. Baron Zemo gets +9 Attack unless you are a Savior.
<i>Always Leads</i>: Masters of Evil (WWII)
<i>Master Strike</i>: Each player KOs a Bystander from their Victory Pile. Any player who cannot do so gains a Wound.
<i>Attack</i>: 9+
<i>VP</i>: 6

<i>Fallen Idols</i>
<b>Fight</b>: Each other player that is not a Savior discards a card.

<i>Finding Zemo</i>
<b>Fight</b>: Reveal the top five cards of the Villain Deck. If you revealed any Bystanders, KO them and each other player gains a Wound. Put the rest back in random order.

<i>Hatred for the Avengers</i>
<b>Fight</b>: For each of your Avengers Heroes, rescue a Bystander.

<i>Prisoners of War</i>
<b>Fight</b>: Each other player reveals an Avengers Hero or chooses a Bystander from their Victory Pile, and you rescue that Bystander.


"
Authoritarian Iron Man	"<font size='4'>Authoritarian Iron Man</font>

<b>Always Leads</b>: Superhuman Registration Act
<b>Master Strike</b>: Authoritarian Iron Man fortifies the next city space to his right, starting with the Bridge. You can't fight him while there's a Villain in that space.
Villains in that space get +3 Attack.
Attack: 12
VP: 6

<i>Armada of Armors</i>
<b>Fight</b>: You get +6 Recruit usable only to recruit https://cf.geekdo-static.com/mbs/mb_26285_0.png and/or https://cf.geekdo-static.com/mbs/mb_26287_0.png Heroes.

<i>Freeze Domestic Assets</i>
<b>Fight</b>: Each other player reveals their hand and discards all their cards with Recruit icons.

<i>Man the Fortifications</i>
<b>Fight</b>: Reveal the top card of the Villain Deck. If it's a Villain, it enters the city space that Authoritarian Iron Man is fortifying.

<i>Recall to Service</i>
<b>Fight</b>: The Villain with the highest printed Attack in the Escape Pile enters the city space that Authoritarian Iron Man is fortifying.
"
Baron Helmut Zemo	"<font size='4'>Baron Helmut Zemo</font>

Baron Zemo gets -1 Attack for each Villain in your Victory Pile.
<b>Always Leads</b>: Thunderbolts
<b>Master Strike</b>: Each player KOs a Villain from their Victory Pile. Any player who cannot do so gains a Wound.
Attack: 16*
VP: 6

<i>Blasted Henchmen!</i>
<b>Fight</b>: Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or KOs a Villain from their Victory Pile.

<i>Cursed Dynasty</i>
<b>Fight</b>: When you draw a new hand of cards at the end of this turn, draw two extra cards.

<i>Endless Minions</i>
<b>Fight</b>: Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or chooses a Villain from their Victory Pile and it enters the city.

<i>Revenge for My Father</i>
<b>Fight</b>: Each other player reveals their hand. Each player who revealed an Avengers Hero gains a Wound.
"
Maria Hill, Director of S.H.I.E.L.D.	"<font size='4'>Maria Hill, Director of S.H.I.E.L.D.</font>

Double S.H.I.E.L.D. Clearance. You can't fight Maria Hill while there are any S.H.I.E.L.D. Elite or Officers in the city.
<b>Always Leads</b>: S.H.I.E.L.D. Elite.
<b>Master Strike</b>: Two S.H.I.E.L.D. Officers enter the city as 3 Attack Villains. When you fight them, gain them as Heroes.
Attack: 7*
VP: 6

<i>Crash the Helicarrier</i>
<b>Fight</b>: KO any number of your S.H.I.E.L.D. Heroes.

<i>Declare Martial Law</i>
<b>Fight</b>: Put a S.H.I.E.L.D. Officer into each empty city space as 3 Attack Villains. When you fight them, gain them as Heroes.

<i>Evacuation Code Epsilon</i>
<b>Fight</b>: Each other player reveals their hand and discards a S.H.I.E.L.D. card.

<i>Rapid Response Team</i>
<b>Fight</b>: Two S.H.I.E.L.D. Officers enter the city as 3 Attack Villains. When you fight them, gain them as Heroes.
"
