id	setup
17	"Turn the Soul of Adam Warlock
14
2
0
The Goblin, Underworld Boss
Goblin's Freak Show|Registration Enforcers
Sakaaran Hivelings
Jessica Jones (D)|Kraven (V)|Nul, Breaker of Worlds (FI)|Wolverine (DC)|Namora (WW)"
18	"Forge the Infinity Gauntlet
8
2
0
The Sentry
Infinity Gems|Aspects of the Void
Phalanx
Venom (V)|Symbiote Spider-Man (PTT)|Namora (WW)|Speed (R)|Vision (CW)"
19	"Crush HYDRA
8
2
0
Wasteland Hulk
Wasteland|Celestials
Cops
Thing (FF)|Corvus Glaive (SW2)|Captain America 1941 (C75)|Daredevil (DC)|X-23 (XM)"
20	"The Korvac Saga
8
2
0
Mandarin - epic
Deadpool's ""Friends""|Poisons
Mandarin's Rings
Silver Surfer (FF)|Stature (CW)|Gwenpool (CH)|Yondu (ITC)|Venom (VE)"
21	"The Dark World of Svartalfheim
10
2
0
Baron Heinrich Zemo
Masters of Evil (WWII)|Mojoverse
Shi'ar Death Commandos
Thor (B)|Gambit (B)|Forge (DC)|Captain Marvel (SW1)|Domino (DC)"
22	"Superhuman Baseball Game
9
2
0
Maximus the Mad - epic
Inhuman Rebellion|Mojoverse|Queen's Vengeance
Hand Ninjas
Deadpool (B)|Captain Mar-Vell (ITC)|Captain America 1941 (C75)|Kraven (V)|Thor (HOA)"
23	"Dark Reign of H.A.M.M.E.R. Officers
7
2
0
Immortal Emperor Zheng-Zhu
K'un-lun|Deadpool's ""Friends""
Maggia Goons
Lady Sif (HOA)|Black Cat (PTT)|Jocasta (AM)|Steve Rogers, Director of S.H.I.E.L.D. (C75)|Black Bolt (SW1)"
24	"Mutating Gamma Rays
7
2
0
Magneto
Brotherhood|Monsters Unleashed
Maggia Goons
Skirn, Breaker of Men (FI)|Ms. America (D)|Mockingbird (AOS)|Hawkeye (B)|Captain America 1941 (C75)
Nul, Breaker of Worlds (FI)"
25	"Weave a Web of Lies
7
2
0
Mandarin - epic
X-Men First Class|Limbo
Mandarin's Rings
Nightcrawler (DC)|Warlock (NM)|Agent Venom (SW2)|Speedball (CW)|Skadi (FI)"
26	"Enthrone the Barons of Battleworld
8
2
0
King Hyperion
Utopolis|Emissaries of Evil
M.O.D.O.K.s
Phoenix Force Cyclops (SW2)|Speedball (CW)|Shang-Chi (SW2)|Gambit (B)|Corvus Glaive (SW2)"
27	"War of the Frost Giants
9
2
0
Misty Knight
Heroes for Hire|Brotherhood
Multiple Man
Old Man Logan (SW1)|Medusa (ROK)|Wolverine (B)|Lady Thor (SW1)|Spider-Gwen (SW2)"
28	"Scavenge Alien Weaponry
7
2
0
General Ross
Code Red|Radiation
Khonshu Guardians|Asgardian Warriors
Quasar (ITC)|Kuurth, Breaker of Stone (FI)|Bullseye (V)|Wonder Man (AM)|Sabretooth (V)
Khonshu Guardians"
29	"The Mark of Khonshu
10
2
0
Fin Fang Foom - epic
Monsters Unleashed|X-Men Noir
Khonshu Guardians
Black Swan (SW2)|Hulk (B)|Totally Awesome Hulk (CH)|Brainstorm (ANH)|Phyla-Vell (ITC)
Happy Hogan (HC)"
30	"Mass Produce War Machine Armor
8
2
0
Onslaught
Dark Descendants|Maximum Carnage
S.H.I.E.L.D. Assault Squad
Beta Ray Bill (HOA)|Kuurth, Breaker of Stone (FI)|Enchantress (V)|Electro (V)|Captain America 1941 (C75)"
31	"Flood the Planet with Melted Glaciers
8
2
0
Madelyne Pryor, Goblin Queen
Limbo|Sakaar Imperial Guard
M.O.D.O.K.s
Fantastic Four United (ANH)|Scarlet Spider (PTT)|Kuurth, Breaker of Stone (FI)|Heralds of Galactus (ANH)|Black Bolt (SW1)"
32	"Change the Outcome of WWII
7
2
0
Kang the Conqueror
Timelines of Kang|Underworld|Heralds of Galactus
Shi'ar Patrol Craft
Kraven (V)|Ronan the Accuser (ITC)|Joe Fixit, Grey Hulk (WW)|High-Tech Spider-Man (HC)|Deadpool (B)"
33	"Sinister Ambitions
6
2
0
Onslaught - epic
Dark Descendants|Hellfire Club
Circus of Crime
Mysterio (V)|Black Widow (B)|Sentry (WW)|Shang-Chi (SW2)|Green Goblin (V)"
34	"Fall of the Hulks
10
2
12
Maria Hill, Director of S.H.I.E.L.D.
S.H.I.E.L.D. Elite|Emissaries of Evil
M.O.D.O.K.s
Nul, Breaker of Worlds (FI)|Amadeus Cho (WW)|Ultron (V)|Greithoth, Breaker of Wills (FI)|Hercules (CW)"
35	"Earthquake Drains the Ocean
11
2
0
Emperor Vulcan of the Shi'ar
Shi'ar Imperial Elite|Sinister Six|X-Men '92
Ghost Racers
Hercules (CW)|Hellcat (R)|Wasp (AM)|Captain America, Secret Avenger (CW)|Luke Cage Noir (N)"
36	"Cytoplasm Spike Invasion
10
2
0
Baron Helmut Zemo
Thunderbolts|Manhattan (Earth-1610)
Savage Land Mutates
Jean Grey (DC)|Electro (V)|Deadpool (B)|Magik (SW1)|Phoenix (XM)"
37	"Deadlands Hordes Charge the Wall
8
2
0
The Goblin, Underworld Boss
Goblin's Freak Show|Emissaries of Evil|Domain of Apocalypse
Circus of Crime
Mirage (NM)|No-Name, Brood Queen (WW)|Skaar, Son of Hulk (WW)|Captain America (B)|Beast (SW2)"
38	"Tornado of Terrigen Mists
10
2
0
Ragnarok
Registration Enforcers|Emissaries of Evil
Shi'ar Patrol Craft
Adam Warlock (ITC)|Carnage (VE)|Spider-Woman (PTT)|Bishop (DC)|Hellcat (R)"
39	"Cage Villains in Power-Suppressing Cells
8
2
0
Mandarin - epic
Dark Avengers|Marvel Knights
Mandarin's Rings
Deadpool (B)|Tigra (CW)|Bullseye (V)|Venom (V)|Scarlet Spider (PTT)"
40	"Sinister Ambitions
6
2
0
Illuminati, Secret Society
Illuminati|MLF
Cytoplasm Spikes
Arkon the Magnificent (SW2)|Emma Frost (B)|Electro (V)|Havok (XM)|Captain America (Falcon) (C75)"
41	"Massive Earthquake Generator
8
2
0
Supreme Intelligence of the Kree
Kree Starforce|Goblin's Freak Show
Mandarin's Rings
Mockingbird (AOS)|Quasar (ITC)|Greithoth, Breaker of Wills (FI)|Bishop (DC)|Amadeus Cho (WW)"
42	"Silence the Witnesses
6
2
0
General Ross
Code Red|Underworld
Shi'ar Death Commandos
Dazzler (XM)|Skadi (FI)|Wolverine (B)|Steve Rogers, Director of S.H.I.E.L.D. (C75)|Tony Stark (HC)"
43	"Imprison Unregistered Superhumans
11
2
0
Grim Reaper
Lethal Legion|CSA Special Marshals
Sentinel
Elsa Bloodstone (SW2)|Human Torch (FF)|Daredevil (CW)|Emma Frost (B)|Apocalyptic Kitty Pryde (SW1)"
44	"Invasion of the Venom Symbiotes
8
2
0
Adrian Toomes - epic
Salvagers|Defenders
Hand Ninjas|Spider-Slayer
Emma Frost (B)|Hulkbuster Iron Man (WW)|Squirrel Girl (D)|Joe Fixit, Grey Hulk (WW)|Star-Lord (GG)"
45	"Steal All Oxygen on Earth
8
2
0
Annihilus - epic
Annihilation Wave|Spider Friends|U-Foes
Multiple Man
Happy Hogan (HC)|Elsa Bloodstone (SW2)|Crystal (ROK)|Star-Lord (GG)|Adam Warlock (ITC)"
46	"Deadpool Wants A Chimichanga
6
12
0
Apocalypse
Four Horsemen|Streets of New York
Multiple Man
Bruce Banner (WW)|Captain America (B)|Mirage (NM)|Mockingbird (AOS)|Namor, the Sub-Mariner (SW1)"
47	"Nitro the Supervillain Threatens Crowds
8
2
0
Hybrid - epic
Life Foundation|X-Men '92
Phalanx
Spider-Man (B)|Mirage (NM)|Psi-Lord (ANH)|Quasar (ITC)|Thanos (SW1)"
48	"Pull Reality Into the Negative Zone
8
2
0
Carnage
Maximum Carnage|Army of Evil
Thor Corps
Namora (WW)|Captain Marvel (SW1)|Kraven (V)|Tony Stark (HC)|Longshot (XM)"
49	"The Legacy Virus
8
2
12
Hydra High Council
Hydra Elite|Sinister Six
Maggia Goons
Enchantress (V)|Gladiator Hulk (WW)|The Warriors Three (HOA)|Nightcrawler (DC)|Jubilee (XM)"
50	"Deadlands Hordes Charge the Wall
8
2
0
Illuminati, Secret Society
Illuminati|Sakaar Imperial Guard|Sinister Six
Sakaaran Hivelings
Tigra (CW)|Korg (WW)|Symbiote Spider-Man (PTT)|Nova (ITC)|Iron Fist (DC)"
51	"Crash the Moon into the Sun
11
2
0
The Sentry
Aspects of the Void|X-Men Noir
Spider-Slayer
Beast (XM)|Venom Rocket (VE)|Iron Man (B)|Groot (GG)|Agent X-13 (C75)"
52	"Pulse Waves from the Negative Zone
9
2
0
Magneto
Brotherhood|Radiation
Hellfire Cult
Yondu (ITC)|Captain America, Secret Avenger (CW)|Bullseye (V)|Dazzler (XM)|Hulkbuster Iron Man (WW)"
53	"X-Men Danger Room Goes Berserk
8
2
0
Annihilus
Annihilation Wave|Streets of New York
HYDRA Base
Namor, the Sub-Mariner (SW1)|Black Bolt (SW1)|Deathlok (AOS)|Quicksilver (R)|Dazzler (XM)"
54	"Gladiator Pits of Sakaar
6
2
0
Hela, Goddess of Death - epic
Omens of Ragnarok|Domain of Apocalypse
Cytoplasm Spikes
Wolfsbane (NM)|Polaris (XM)|Banshee (XM)|Moon Knight (PTT)|Quasar (ITC)"
55	"Invincible Force Field
7
2
0
Red Skull
HYDRA|K'un-lun
Hand Ninjas
Medusa (ROK)|Psylocke (XM)|Groot (GG)|Symbiote Spider-Man (PTT)|Captain America (Falcon) (C75)"
56	"Bathe Earth In Cosmic Rays
6
2
0
Mandarin - epic
Four Horsemen|X-Men First Class
Mandarin's Rings
Groot (GG)|Viv Vision (CH)|Venom (VE)|Daredevil (CW)|Luke Cage Noir (N)"
57	"Dark Alliance
8
2
0
Spider-Queen
Wrecking Crew|X-Men '92
Spider-Infected
Crystal (ROK)|Silk (SW2)|Mystique (V)|Viv Vision (CH)|Psylocke (XM)"
58	"Invasion of the Venom Symbiotes
8
2
0
Madelyne Pryor, Goblin Queen
Limbo|Spider-Foes
Ghost Racers|Asgardian Warriors
Moondragon (ITC)|Gamora (GG)|Patriot (CW)|The Captain and the Devil (SW2)|Wasp (AM)"
59	"War of Kings
11
2
0
Hela, Goddess of Death
Omens of Ragnarok|Hood's Gang
Magma Men
Cannonball (XM)|Karnak (ROK)|Hellcat (R)|Juggernaut (V)|Thing (FF)"
60	"Deadpool Wants A Chimichanga
6
12
0
Onslaught - epic
Dark Descendants|Army of Evil
M.O.D.O.K.s
Stingray (DP)|Psi-Lord (ANH)|Green Goblin (V)|Nick Fury (B)|Squirrel Girl (D)"
61	"Corrupt the Next Generation of Heroes
8
2
0
Shiklah, the Demon Bride
Monster Metropolis|A.I.M., Hydra Offshoot
Sentinel
Deadpool (DP)|Beast (SW2)|Bishop (DC)|Maximus (SW1)|Bob, Agent of HYDRA (DP)"
62	"House of M
8
2
0
Mole Man
Subterranea|From Beyond
Cops
Storm & Black Panther (CW)|Jubilee (XM)|Wolfsbane (NM)|Storm (B)|Hercules (CW)|Hawkeye (B)"
63	"Mass Produce War Machine Armor
8
2
0
Onslaught
Dark Descendants|K'un-lun
S.H.I.E.L.D. Assault Squad
Gorgon (ROK)|Wonder Man (AM)|Slapstick (DP)|Cable (DC)|Namora (WW)"
64	"Crush HYDRA
8
2
0
Ragnarok
Registration Enforcers|Streets of New York
Savage Land Mutates
Warlock (NM)|Medusa (ROK)|Dr. Strange (SW1)|Korg (WW)|Phyla-Vell (ITC)"
65	"Forge the Infinity Gauntlet
8
2
0
The Beyonder - epic
Infinity Gems|From Beyond
Asgardian Warriors
Nightcrawler (DC)|Juggernaut (V)|The Captain and the Devil (SW2)|Psylocke (XM)|Green Goblin (V)"
66	"Break the Planet Asunder
9
2
0
Belasco, Demon Lord of Limbo - epic
Demons of Limbo|Marauders
Cytoplasm Spikes
Nul, Breaker of Worlds (FI)|Man-Thing (D)|Tigra (CW)|Captain Marvel, Agent of S.H.I.E.L.D. (R)|The Captain and the Devil (SW2)|Longshot (XM)|Lady Sif (HOA)"
67	"Cytoplasm Spike Invasion
10
2
0
Mole Man
Subterranea|S.H.I.E.L.D. Elite
Universal Church of Truth
Sunspot (NM)|Captain America (B)|Jubilee (XM)|Lady Thor (SW1)|Gamora (GG)"
68	"Save Humanity
8
2
0
Ultron - epic
Ultron's Legacy|Heroes for Hire
Khonshu Guardians
Speedball (CW)|Speed (R)|Hulkbuster Iron Man (WW)|Miek, The Unhived (WW)|Mirage (NM)"
69	"Last Stand at Avengers Tower
6
2
0
Mysterio
Sinister Six|Limbo
Magma Men
Bruce Banner (WW)|Moon Knight (PTT)|Adam Warlock (ITC)|Vision (CW)|No-Name, Brood Queen (WW)"
70	"Secret Wars
8
2
0
The Red King
Sakaar Imperial Guard|Deadpool's ""Friends""
Universal Church of Truth
Mysterio (V)|Bruce Banner (WW)|Solo (DP)|Skaar, Son of Hulk (WW)|Nova (CH)"
71	"Reveal Heroes' Secret Identities
6
2
0
The Red King
Sakaar Imperial Guard|Defenders
Maggia Goons
Forge (DC)|Ultimate Spider-Man (SW1)|Terrible Jean Grey (SW2)|Hulkbuster Iron Man (WW)|Thanos (SW1)|Domino (DC)|Spider-Man Noir (N)"
72	"Epic Super Hero Civil War
9
2
0
Shadow King - epic
Shadow-X|Lethal Legion
Spider-Infected
Daredevil (CW)|Spider-Woman (PTT)|Havok (XM)|Skaar, Son of Hulk (WW)|Thanos (SW1)"
73	"Deadlands Hordes Charge the Wall
8
2
0
Charles Xavier, Professor of Crime
X-Men Noir|Ultron's Legacy|Poisons
S.H.I.E.L.D. Assault Squad
Storm & Black Panther (CW)|Jocasta (AM)|Spider-Gwen (SW2)|Kitty Pryde (XM)|Corvus Glaive (SW2)"
74	"Brainwash the Military
7
2
0
Mojo
Mojoverse|Deadpool's ""Friends""
Spider-Infected
Valkyrie (HOA)|Skirn, Breaker of Men (FI)|Havok (XM)|Ant-Man (AM)|Greithoth, Breaker of Wills (FI)"
75	"Crush Them With My Bare Hands
5
2
0
Illuminati, Secret Society
Illuminati|Marvel Knights
Sentinel
Nebula (ITC)|Bruce Banner (WW)|Dazzler (XM)|Quake (AOS)|Professor X (DC)"
76	"Graduation at Xavier's X-Academy
8
2
0
The Red King
Sakaar Imperial Guard|Code Red
Shi'ar Patrol Craft
Captain America (Falcon) (C75)|Iron Man Noir (N)|Jean Grey (DC)|Phyla-Vell (ITC)|Carnage (VE)"
77	"Sneak Attack the Heroes' Homes
6
2
0
Authoritarian Iron Man
Superhuman Registration Act|Four Horsemen
Shi'ar Death Commandos
Bullseye (V)|Kingpin (V)|Dr. Punisher, Soldier Supreme (SW2)"
78	"Hydra Helicarriers Hunt Heroes
8
2
0
The Goblin, Underworld Boss
Goblin's Freak Show|A.I.M., Hydra Offshoot
The Brood
Crystal (ROK)|Silver Surfer (FF)|Patriot (CW)|Squirrel Girl (D)|Miek, The Unhived (WW)|Viv Vision (CH)"
79	"Annihilation: Conquest
11
2
0
Madelyne Pryor, Goblin Queen
Limbo|Infinity Gems
Ghost Racers
Peter Parker, Homecoming (HC)|Black Panther (SW1)|Karma (NM)|Enchantress (V)|Photon (R)|Wasp (AM)"
80	"Explosion at the Washington Monument
8
2
0
Mysterio
Sinister Six|Life Foundation
Sakaaran Hivelings
Black Widow (B)|Beta Ray Bill (HOA)|Professor X (DC)|Hulkbuster Iron Man (WW)|Cable (DC)"
81	"Replace Earth's Leaders with Killbots
5
18
0
The Beyonder
From Beyond|Heroes for Hire
Shi'ar Patrol Craft
Spider-Man Noir (N)|Skadi (FI)|Phoenix (XM)|Iceman (DC)|Dr. Strange (SW1)"
82	"Breach Parallel Dimensions
6
6
0
Hela, Goddess of Death
Omens of Ragnarok|Aspects of the Void
Mandarin's Rings
Captain Marvel (SW1)|Goliath (CW)|Patriot (CW)|Ms. Marvel (CH)|Carnage (VE)"
83	"The Clone Saga
8
2
0
Magneto
Brotherhood|Utopolis
Hand Ninjas
Groot (GG)|Mockingbird (AOS)|Polaris (XM)|Karnak (ROK)|Amadeus Cho (WW)"
84	"Annihilation: Conquest
11
2
0
Shiklah, the Demon Bride
Monster Metropolis|MLF
Thor Corps
Mockingbird (AOS)|X-23 (XM)|The Warriors Three (HOA)|Dr. Octopus (V)|Scarlet Spider (PTT)|Hercules (CW)"
85	"Mutating Gamma Rays
7
2
0
King Hyperion
Utopolis|Masters of Evil
HYDRA Base
Dr. Octopus (V)|Forge (DC)|Ruby Summers (SW2)|Jean Grey (DC)|Kingpin (V)
Joe Fixit, Grey Hulk (WW)"
86	"Ragnarok, Twilight of the Gods
11
2
0
King Hyperion
Utopolis|Guardians of Knowhere
Asgardian Warriors
Storm (B)|Shang-Chi (SW2)|Wolfsbane (NM)|Bishop (DC)|Carnage (VE)"
87	"Deadpool Writes a Scheme
6
2
0
Arnim Zola
Zola's Creations|Brotherhood
Doombot Legion
Venompool (VE)|Steve Rogers, Director of S.H.I.E.L.D. (C75)|Adam Warlock (ITC)|Korg (WW)|Valkyrie (HOA)"
88	"Steal the Weaponized Plutonium
8
2
0
Immortal Emperor Zheng-Zhu
K'un-lun|Utopolis|Monsters Unleashed
The Brood
Aurora & Northstar (XM)|Moondragon (ITC)|Captain Marvel (SW1)|Skadi (FI)|Rogue (B)"
89	"Silence the Witnesses
6
2
0
Pagliacci - epic
Wrecking Crew|Life Foundation
Death's Heads
Miek, The Unhived (WW)|Hiroim (WW)|Mystique (V)|Iron Fist (DC)|Tigra (CW)"
90	"The Legacy Virus
8
2
12
Arcade
Murderworld|Omens of Ragnarok
Spider-Infected
Captain Britain (SW2)|Hellcat (R)|Winter Soldier (C75)|Black Swan (SW2)|Captain America, Secret Avenger (CW)"
91	"The Mark of Khonshu
10
2
0
The Grandmaster - epic
Elders of the Universe|Lethal Legion
Khonshu Guardians
Scarlet Witch (R)|Quicksilver (R)|Steve Rogers, Director of S.H.I.E.L.D. (C75)|Fantastic Four United (ANH)|Silk (SW2)
Iron Fist (DC)"
92	"Shoot Hulk into Space
8
2
0
Hybrid - epic
Life Foundation|Deadpool's Secret Secret Wars
Magma Men
Corvus Glaive (SW2)|Gladiator Hulk (WW)|Apocalyptic Kitty Pryde (SW1)|Venompool (VE)|Psi-Lord (ANH)
Joe Fixit, Grey Hulk (WW)"
93	"Trap Heroes in the Microverse
11
2
0
Nick Fury
Avengers|Wrecking Crew
Universal Church of Truth
Iron Man (B)|Luke Cage (CW)|Karma (NM)|Mirage (NM)|Ronan the Accuser (ITC)
Kraven (V)"
94	"Cage Villains in Power-Suppressing Cells
8
2
0
Onslaught - epic
Dark Descendants|S.H.I.E.L.D. Elite
Spider-Slayer
Venom Rocket (VE)|Solo (DP)|Spider-Man Noir (N)|Hellcat (R)|Venom (VE)"
95	"Ragnarok, Twilight of the Gods
11
2
0
Mysterio
Sinister Six|Manhattan (Earth-1610)
Sidera Maris, Bridge Builders
Jocasta (AM)|Super-Skrull (ANH)|Daredevil Noir (N)|Greithoth, Breaker of Wills (FI)|Maximus (SW1)"
96	"United States Split by Civil War
10
2
0
Nimrod, Super Sentinel
Sentinel Territories|Superhuman Registration Act
Death's Heads
X-23 (XM)|Gorgon (ROK)|Ms. Marvel (CH)|Havok (XM)|Wiccan (CW)"
97	"Infiltrate the Lair with Spies
8
2
0
Zombie Green Goblin
The Deadlands|Enemies of Asgard
Hand Ninjas
She-Hulk (WW)|Venom (VE)|Stature (CW)|Lady Sif (HOA)|Maximus (SW1)"
98	"Sneak Attack the Heroes' Homes
6
2
0
Fin Fang Foom
Monsters Unleashed|Wasteland
Cytoplasm Spikes
Ronan the Accuser (ITC)|Tony Stark (HC)|Wolverine (DC)"
99	"Deadpool Writes a Scheme
6
2
0
Belasco, Demon Lord of Limbo
Demons of Limbo|Queen's Vengeance
Maggia Goons
Deadpool (DP)|Luke Cage Noir (N)|Solo (DP)|Professor X (DC)|Skadi (FI)"
100	"Sneak Attack the Heroes' Homes
6
2
0
The Sentry
Aspects of the Void|Sinister Six
Cops
Speed (R)|Steve Rogers, Director of S.H.I.E.L.D. (C75)|Domino (DC)"
101	"Imprison Unregistered Superhumans
11
2
0
Annihilus - epic
Annihilation Wave|Underworld|Demons of Limbo
M.O.D.O.K.s
Peter Parker (CW)|Captain America (Falcon) (C75)|Nightcrawler (DC)|Arkon the Magnificent (SW2)|Rocket Raccoon (GG)"
102	"The God-Emperor of Battleworld
8
2
0
Maximus the Mad - epic
Inhuman Rebellion|Dark Avengers
Sakaaran Hivelings
Star-Lord (GG)|Hawkeye (B)|Rocket Raccoon (GG)|Moondragon (ITC)|Quasar (ITC)"
103	"Imprison Unregistered Superhumans
11
2
0
The Hood
Hood's Gang|Subterranea
Mandarin's Rings
Phoenix (XM)|Psylocke (XM)|Venom (V)|Beast (XM)|The Warriors Three (HOA)"
104	"Hail Hydra
11
2
0
Baron Heinrich Zemo
Masters of Evil (WWII)|Shi'ar Imperial Elite
M.O.D.O.K.s
Falcon (CW)|Spider-Woman (PTT)|Joe Fixit, Grey Hulk (WW)|Black Panther (SW1)|Cyclops (B)"
105	"The Contest of Champions
11
2
0
Baron Heinrich Zemo
Masters of Evil (WWII)|Evil Deadpool Corpse
Asgardian Warriors
Sentry (WW)|Enchantress (V)|Iron Man (B)|Joe Fixit, Grey Hulk (WW)|Nebula (ITC)|Viv Vision (CH)"
106	"Nuclear Armageddon
5
2
0
Mephisto
Underworld|Inhuman Rebellion
M.O.D.O.K.s
Juggernaut (V)|Mockingbird (AOS)|Phyla-Vell (ITC)|Wolverine (B)|Mysterio (V)"
107	"World War Hulk
9
2
0
Professor X
X-Men First Class|Infinity Gems
Thor Corps
Peter Parker, Homecoming (HC)|Daredevil (DC)|Captain Mar-Vell (ITC)|Ultron (V)|Mirage (NM)
Ultron|Deathbird|Belasco, Demon Lord of Limbo"
108	"Dark Reign of H.A.M.M.E.R. Officers
7
2
0
Apocalypse
Four Horsemen|Hood's Gang
Sidera Maris, Bridge Builders
Karnak (ROK)|Man-Thing (D)|Terrible Jean Grey (SW2)|Bullseye (V)|Wolverine (B)"
109	"Gladiator Pits of Sakaar
6
2
0
The Goblin, Underworld Boss
Goblin's Freak Show|Demons of Limbo
Cytoplasm Spikes
Winter Soldier (C75)|Thor (B)|Apocalyptic Kitty Pryde (SW1)|Captain Marvel, Agent of S.H.I.E.L.D. (R)|Ms. Marvel (CH)"
110	"The Fountain of Eternal Life
8
2
0
The Hood - epic
Hood's Gang|Deadpool's ""Friends""
Magma Men
Thing (FF)|Kraven (V)|Iron Fist (DC)|Peter Parker, Homecoming (HC)|Solo (DP)"
111	"Nuclear Armageddon
5
2
0
The Grandmaster
Elders of the Universe|Mojoverse
Mandarin's Rings
Hellcat (R)|Silver Surfer (FF)|Ghost Rider (DC)|No-Name, Brood Queen (WW)|Hulkling (CW)"
112	"Invasion of the Venom Symbiotes
8
2
0
Kang the Conqueror - epic
Timelines of Kang|Uncanny X-Men
Multiple Man|M.O.D.O.K.s
Drax the Destroyer (GG)|Beta Ray Bill (HOA)|Black Swan (SW2)|Black Bolt (SW1)|Apocalyptic Kitty Pryde (SW1)"
113	"Break the Planet Asunder
9
2
0
General Ross
Code Red|Elders of the Universe
Maggia Goons
Hulk (B)|Hellcat (R)|Luke Cage Noir (N)|Solo (DP)|Mysterio (V)|Deadpool (DP)|Hulkbuster Iron Man (WW)"
114	"Dark Alliance
8
2
0
Immortal Emperor Zheng-Zhu
K'un-lun|The Mighty
Thor Corps
Totally Awesome Hulk (CH)|Quake (AOS)|Shang-Chi (SW2)|Venom (VE)|Drax the Destroyer (GG)"
115	"Super Hero Civil War
8
2
0
Madelyne Pryor, Goblin Queen
Limbo|Intelligencia
Spider-Infected
Symbiote Spider-Man (PTT)|Winter Soldier (C75)|Scarlet Spider (PTT)|Valkyrie (HOA)"
116	"Pull Reality Into the Negative Zone
8
2
0
Nick Fury
Avengers|Warbound
Asgardian Warriors
Yondu (ITC)|Banshee (XM)|Venom (VE)|Falcon (CW)|Magneto (V)"
