viltext	text
MLF	"

''Forearm'' (2 copies)
To fight Forearm, you must also reveal four Hero cards with different card names.
'''Attack''': 4*
'''VP''': 4

''Reignfire'' (2 copies)
'''Escape''': Reignfire becomes a Master Strike that takes effect immediately.
'''Attack''': 6
'''VP''': 4

''Wildside'' (2 copies)
'''Fight''': If you fight Wildside in the Sewers or Bank, KO two of your Heroes.
'''Attack''': 5
'''VP''': 3

''Zero'' (2 copies)
To fight Zero, you must also discard three cards that cost 0.
'''Attack''': 0*
'''VP''': 2

"
Streets of New York	"

''Bullseye'' (2 copies)
'''Fight''': KO one of your Heroes with a Recruit icon and one of your Heroes with an Attack icon.
'''Attack''': 6
'''VP''': 4

''Hammerhead'' (2 copies)
Bribe
'''Fight''': KO one of your Heroes with a Recruit icon.
'''Attack''': 5*
'''VP''': 2

''Jigsaw'' (2 copies)
'''Ambush''': Each player discards three cards, then draws two cards.
Bribe
'''Attack''': 11*
'''VP''': 5

''Tombstone'' (2 copies)
Bribe
'''Escape''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero or gains a Wound.
'''Attack''': 8*
'''VP''': 4

"
Underworld	"

''Azazel'' (2 copies)
'''Fight''': A card in your hand gains Teleport this turn.
'''Attack''': 4
'''VP''': 2

''Blackheart'' (2 copies)
'''Ambush''': The player to your right reveals a Marvel Knights Hero or gains a Wound.
'''Fight''': Same effect.
'''Escape''': Same effect.
'''Attack''': 6
'''VP''': 4

''Dracula'' (2 copies)
'''Ambush''': Dracula captures the top card of the Hero Deck. Dracula gets + Attack equal to that card's Cost.
'''Fight''': Gain that card.
'''Attack''': 3+
'''VP''': 4

''Lilith, Daughter of Dracula'' (2 copies)
'''Escape''': Each player without Dracula in their Victory Pile gains a Wound.
'''Attack''': 5
'''VP''': 3



"
Heralds of Galactus	"

''Firelord'' (2 copies)
Cosmic Threat: https://cf.geekdo-static.com/mbs/mb_26285_0.png
'''Fight''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero or gains a Wound.
'''Escape''': Same effect.
'''Attack''': 9*
'''VP''': 4

''Morg'' (2 copies)
Cosmic Threat: https://cf.geekdo-static.com/mbs/mb_26284_0.png
'''Ambush''': Put each non-https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero from the HQ on the bottom of the Hero Deck.
'''Attack''': 12*
'''VP''': 6

''Stardust'' (2 copies)
Cosmic Threat: https://cf.geekdo-static.com/mbs/mb_26283_0.png
'''Fight''': Choose one of your https://cf.geekdo-static.com/mbs/mb_26283_0.png Heroes. When you draw a new hand of cards at the end of this turn, add that Hero to your hand as a seventh card.
'''Attack''': 10*
'''VP''': 5

''Terrax the Tamer'' (2 copies)
Cosmic Threat: https://cf.geekdo-static.com/mbs/mb_26286_0.png
'''Ambush''': For each https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero in the HQ, Terrax captures a Bystander.
'''Attack''': 11*
'''VP''': 5

"
Subterranea	"

''Giganto'' (2 copies)
'''Fight''': When you draw a new hand of cards at the end of this turn, draw two extra cards.
Burrow
'''Attack''': 7
'''VP''': 4

''Megataur'' (2 copies)
'''Ambush''': Megataur captures two Bystanders.
Burrow
'''Attack''': 6
'''VP''': 4

''Moloids'' (2 copies)
'''Fight''': KO one of your Heroes.
Burrow
'''Attack''': 3
'''VP''': 2

''Ra'ktar the Molan King'' (2 copies)
'''Ambush''': Any Villain in the Streets moves to the Bridge, pushing any Villain already there to escape.
Burrow
'''Attack''': 4
'''VP''': 2



"
Maximum Carnage	"

''Carrion'' (2 copies)
Feast
Whenever Carrion feasts on a Hero that costs 1 or more, put Carrion back in the city space where he was.
'''Attack''': 4
'''VP''': 3

''Demogoblin'' (2 copies)
'''Ambush''': Demogoblin captures a Bystander.
Feast
'''Attack''': 5
'''VP''': 3

''Doppelganger'' (2 copies)
Doppelganger's Attack is equal to the Cost of the Hero in the HQ space under him.
Feast
'''Attack''': *
'''VP''': 3

''Shriek'' (2 copies)
Feast
When Shriek feasts on a 0-cost Hero, each other player gains a Wound.
'''Escape''': Each player gains a Wound.
'''Attack''': 6
'''VP''': 4

"
Sinister Six	"

''Chameleon'' (1 copy)
'''Fight''': Copy the effects of the Hero in the HQ space under Chameleon, including its Recruit and Attack.
'''Attack''': 6
'''VP''': 2

''Hobgoblin'' (1 copy)
'''Ambush''': Each Sinister Six Villain captures a Bystander.
'''Attack''': 5
'''VP''': 3

''Kraven the Hunter'' (1 copy)
Kraven's Attack is equal to the Cost of the highest-cost Hero in the HQ.
'''Escape''': (After you do the normal escape KO) KO a Hero from the HQ with the highest cost.
'''Attack''': *
'''VP''': 4

''Sandman'' (1 copy)
Sandman's Attack is twice the number of Villains in the city.
'''Escape''': Each player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero or gains a Wound.
'''Attack''': *
'''VP''': 4

''Shocker'' (2 copies)
'''Ambush''': Each player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero or discards a card.
'''Attack''': 5
'''VP''': 3

''Vulture'' (2 copies)
'''Ambush''': (After Vulture enters the city) If there is a Villain on the Rooftops or Bridge, swap Vulture with one of those Villains.
'''Escape''': Each player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero or gains a Wound.
'''Attack''': 4
'''VP''': 2



"
Avengers	"

''Ant-Man'' (2 copies)
'''Attack''': 3*
'''VP''': 2
Elusive 4

''Captain America'' (1 copy)
'''Attack''': 4+
'''VP''': 5
'''Ambush''': Each player reveals three colors of Allies or gains a Bindings. (Grey is a color.)
'''Fight''': Same effect. Captain America gets +1 Attack for each color of Ally in the Lair.
Overrun: Demolish each player.

''Hulk'' (1 copy)
'''Attack''': 8
'''VP''': 6
'''Ambush''': Demolish each player twice.
'''Fight''': Same effect.
Overrun: Same effect.

''Iron Man'' (1 copy)
'''Attack''': 7
'''VP''': 5
'''Ambush''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Ally or gains a Bindings.
'''Fight''': Same effect.
Overrun: Demolish each player.

''Thor'' (1 copy)
'''Attack''': 7
'''VP''': 5
'''Ambush''': KO each Ally from the Lair that costs 7 Cost or more.
'''Fight''': Same effect.
Overrun: Demolish each player.

''Wasp'' (2 copies)
'''Attack''': 1*
'''VP''': 4
Elusive 7

"
Defenders	"

''Daredevil'' (2 copies)
'''Attack''': 5
'''VP''': 3
'''Fight''': The next Ally you recruit this turn goes on top of your deck.
Overrun: Each player reveals the top card of their deck and if it costs 1 Cost or more, discards it.

''Iron Fist'' (2 copies)
'''Attack''': 3*
'''VP''': 2
To fight Iron Fist, you must also reveal three Allies with different costs.

''Namor, The Sub-Mariner'' (2 copies)
'''Attack''': 6
'''VP''': 4
'''Ambush''': If any other Defenders Adversaries are in the city, each player gains a Bindings.
'''Fight''': Same Effect.
Overrun: Same Effects.

''Luke Cage'' (2 copies)
'''Attack''': 4
'''VP''': 2
'''Fight''': Each player reveals the top three cards of their deck. You choose which players discard them and which players put them back on top in the order of their choice.

"
Marvel Knights	"

''Black Panther'' (2 copies)
'''Attack''': 4
'''VP''': 2
'''Fight''': Each player draws a card.

''Elektra'' (2 copies)
'''Attack''': 4
'''VP''': 2
'''Fight''': KO one of your Allies. Then KO a Bindings from your hand or discard pile.

''Punisher'' (2 copies)
'''Attack''': 6
'''VP''': 4
'''Fight''': Reveal the top card of your deck. If it costs 0 Cost, KO it.
Overrun: Each player reveals the top card of their deck and if it costs 1 Cost or more, KOs it.

''Ghost Rider'' (2 copies)
'''Attack''': 5
'''VP''': 3
'''Fight''': You may KO another Adversary from your Victory Pile. If you do, you get +3 Recruit.
Overrun: Each player may KO an Adversary from their Victory Pile. Any player who does not do so gains a Bindings.

"
Spider Friends	"

''Black Cat'' (2 copies)
'''Attack''': 2*
'''VP''': 2
Elusive 6.
'''Fight''': Each player reveals the top card of their deck. Choose any number of those cards to be discarded.

''Firestar'' (2 copies)
'''Attack''': 5
'''VP''': 3
'''Fight''': Reveal the top card of your deck. If it has a Recruit icon, KO it.
Overrun: Each player reveals the top card of their deck, and if it has an Attack icon, KO it.

''Moon Knight'' (2 copies)
'''Attack''': 4
'''VP''': 2
'''Fight''': KO one of your Allies. Then, if you fought Moon Knight on the Rooftops, KO another of your Allies.

''Spider-Man'' (2 copies)
'''Attack''': 2
'''VP''': 3
'''Fight''': Reveal the top card of the Adversary Deck. If that card is worth 2 Victory Points or less, play it. If you play a card from the Adversary Deck this way, put Spider-Man back on top of the Adversary Deck.
Overrun: Each player gains a Bindings.

"
Uncanny Avengers	"

''Havok'' (2 copies)
'''Attack''': 4+
'''VP''': 2
X-Treme Attack.
'''Ambush''': Each player who does not reveal a https://cf.geekdo-static.com/mbs/mb_26285_0.png Ally discards two cards, then draws a card.

''Rogue'' (2 copies)
'''Attack''': 4+
'''VP''': 2
X-Treme Attack.
'''Fight''': Each other player discards the top card of their deck. Play a copy of one of those Allies.

''Scarlet Witch'' (2 copies)
'''Attack''': 5
'''VP''': 3
'''Fight''': Reveal the top three cards of your deck. Put any that have odd-numbered costs into your hand and discard the rest. (0 is even.)

''Wolverine'' (2 copies)
'''Attack''': 7+
'''VP''': 5
X-Treme Attack.
Wolverine gets +1 Attack for each card you've drawn this turn.
Overrun: Each player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Ally or gains a Bindings. Then shuffle Wolverine back into the Adversary deck.

"
Uncanny X-Men	"

''Colossus'' (2 copies)
'''Attack''': 5+
'''VP''': 3
X-Treme Attack.
'''Fight''': You may KO a Bindings from your hand or discard pile. If you don't, each other player gains a Bindings.

''Nightcrawler'' (2 copies)
'''Attack''': 4+
'''VP''': 2
X-Treme Attack.
'''Fight''': Choose an Ally you played this turn. When you draw a new hand of cards at the end of this turn, add that Ally to your new hand as an extra card.

''Shadowcat'' (2 copies)
'''Attack''': 2*+
'''VP''': 2
X-Treme Attack.
Elusive 5

''Storm'' (2 copies)
'''Attack''': 4+
'''VP''': 2
X-Treme Attack.
'''Ambush''': (After Storm enters the city.) Move Storm to the Rooftops. If another Adversary is already there, swap them.
'''Fight''': If you fight Storm on the Rooftops, each other player gains a Bindings.

"
X-Men First Class	"

''Angel'' (2 copies)
'''Attack''': 4+
'''VP''': 2
X-Treme Attack.
'''Fight''': Draws two cards, then discard a card.

''Iceman'' (2 copies)
'''Attack''': 5+
'''VP''': 3
X-Treme Attack.
'''Fight''': Draw a card for each https://cf.geekdo-static.com/mbs/mb_26285_0.png Ally you played this turn.

''Jean Grey'' (1 copy)
'''Attack''': 6+
'''VP''': 4
X-Treme Attack.
'''Ambush''': Jean Grey guards a Bystander for each Adversary in the city with X-Treme Attack (including Jean).
'''Fight''': You get +1 Recruit for each Bystander you kidnapped this turn.

''Beast'' (2 copies)
'''Attack''': 5+
'''VP''': 3
X-Treme Attack.
'''Fight''': KO one of your Allies. Then KO another of your Allies if there are any other Adversaries in the city with X-Treme Attack.

''Cyclops'' (1 copy)
'''Attack''': 6+
'''VP''': 4
X-Treme Attack. To Fight Cyclops, you must also discard a card.
Overrun: Each player reveals a Brotherhood Ally or discards a card.



"
Kree Starforce	"

''Captain Atlas'' (1 copy)
Captain Atlas gets +1 Attack for each Shard on the Mastermind.
'''Escape''': Each player loses a Shard. Each player that cannot do so gains a Wound.
'''Attack''': 6+
'''VP''': 4

''Demon Druid'' (1 copy)
'''Ambush''': Another Villain in the city gains two Shards.
'''Attack''': 5
'''VP''': 3

''Dr. Minerva'' (1 copy)
'''Ambush''': Each Kree Villain in the city gains a Shard (including this Villain).
'''Attack''': 5
'''VP''': 3

''Korath the Pursuer'' (1 copy)
'''Ambush''': Each player may draw a card. Korath gains a Shard for each card drawn this way.
'''Escape''': If Korath had any Shards, each player gains a Wound.
'''Attack''': 5
'''VP''': 3

''Ronan the Accuser'' (1 copy)
'''Ambush''': Each player simultaneously points their finger to accuse another player. Each player who was accused the most gains a Wound.
'''Escape''': Same effect.
'''Attack''': 7
'''VP''': 5

''Shatterax'' (1 copy)
'''Fight''': Put a Shard on each Hero in the HQ. When a player gains that Hero, they gain that Shard. If that Hero leaves the HQ some other way, return that Shard to the supply.
'''Attack''': 5
'''VP''': 3

''Supremor'' (2 copies)
'''Ambush''': Supremor and the Mastermind each gain a Shard.
'''Attack''': 3
'''VP''': 2

"
Infinity Gems	"

''Mind Gem'' (1 copy)
'''Ambush''': Mind Gem gains a Shard for each Scheme Twist in the KO pile and/or stacked next to the Scheme.
'''Fight''': Put this into your discard pile as an Artifact.
Artifact - Once per turn, you get +2 Recruit.
'''Attack''': 6
'''VP''': 0

''Power Gem'' (1 copy)
'''Ambush''': Power Gem gains a Shard for each Master Strike in the KO pile and/or stacked next to the Mastermind.
'''Fight''': Put this into your discard pile as an Artifact.
Artifact - Once per turn, you get +2 Attack.
'''Attack''': 7
'''VP''': 0

''Reality Gem'' (2 copies)
'''Ambush''': Reality Gem gains a Shard for each Infinity Gem Villain card in the city and/or Escape pile.
'''Fight''': Put this into your discard pile as an Artifact.
Artifact - Before you play a card from the Villain Deck, you may first reveal the top card of the Villain Deck. If it's not a Scheme Twist, you may put it on the bottom of the Villain Deck. If you do, gain a Shard.
'''Attack''': 5
'''VP''': 0

''Soul Gem'' (1 copy)
'''Ambush''': Soul Gem gains a Shard for each Villain in the city.
'''Fight''': Put this into your discard pile as an Artifact.
Artifact - Whenever you defeat a Villain, put a Shard on Soul Gem from the supply. Once per turn, you get + Attack equal to the number of Shards on Soul Gem.
'''Attack''': 6
'''VP''': 0

''Space Gem'' (2 copies)
'''Ambush''': Space Gem gains a Shard for each empty space in the city.
'''Fight''': Put this into your discard pile as an Artifact.
Artifact - Once per turn, you may move a Villain to another city space. If another Villain is already there, swap them. If you moved any Villains this way, gain a Shard.
'''Attack''': 5
'''VP''': 0

''Time Gem'' (1 copy)
'''Ambush''': Play another card from the Villain Deck. Time Gem gains Shards equal to that card's printed Victory Points.
'''Fight''': Put this into your discard pile as an Artifact.
Artifact - When you play this Artifact, take another turn after this one. Use this ability only if this is the fist time any player has played the Time Gem this game.
'''Attack''': 6
'''VP''': 0



"
The Mighty	"

''Black Widow'' (1 copy)
2 Uru-Enchanted Weapons
Fight or Fail: If her Uru-Enchanted Weapons revealed any Bystanders, kidnap them.
'''Attack''': 3*
'''VP''': 4

''Dr. Strange'' (1 copy)
Uru-Enchanted Weapon
'''Ambush''': Reveal the top three cards of the Adversary Deck. Put the Adversary you revealed with the highest printed VP on top of that deck. Put the rest on the bottom of that deck in random order.
Fight or Fail: You get +2 Recruit.
'''Attack''': 5*
'''VP''': 4

''Hawkeye'' (1 copy)
Uru-Enchanted Weapon
Fight or Fail: Choose one: Each other player draws a card, or each other player discards a card.
'''Attack''': 3*
'''VP''': 2

''Iron Fist'' (1 copy)
Uru-Enchanted Weapon
If his Uru-Enchanted Weapon revealed an Adversary, KO one of your Allies.
'''Attack''': 3*
'''VP''': 2

''Ms. Marvel'' (1 copy)
Uru-Enchanted Weapon
Fight or Fail: If her Uru-Enchanted Weapon revealed a Command Strike or Plot Twist, play it.
Overrun: Each player reveals a https://cf.geekdo-static.com/mbs/mb_26285_0.png Ally or gains a Bindings.
'''Attack''': 4*
'''VP''': 3

''Red She-Hulk'' (1 copy)
Uru-Enchanted Weapon
Fight or Fail: If her Uru-Enchanted Weapon revealed an Adversary, put that Adversary into your Victory Pile.
'''Attack''': 4*
'''VP''': 2

''Spider-Man'' (1 copy)
2 Uru-Enchanted Weapons
Fight or Fail: Play all the cards revealed by his Uru-Enchanted Weapon that are worth 2 VP or less.
Overrun: Each player gains a Bindings.
'''Attack''': 2*
'''VP''': 3

''Wolverine'' (1 copy)
2 Uru-Enchanted Weapons
Fight or Fail: Draw two cards.
Overrun: Each player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Ally or gains a Bindings. Then put Wolverine on top of the Adversary Deck.
'''Attack''': 5*
'''VP''': 6



"
The Deadlands	"

''Zombie Baron Zemo'' (1 copy)
'''Ambush''': '''Rise of the Living Dead'''
'''Fight''': For each of your Avengers Heroes, rescue a Bystander.
'''Attack''': 6
'''VP''': 4

''Zombie Loki'' (1 copy)
'''Ambush''': '''Rise of the Living Dead'''
'''Escape''': Loki ascends to become a new Mastermind. He gains the ability, '''""Master Strike''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26286_0.png  Hero or gains a Wound.""
'''Attack''': 8
'''VP''': 6

''Zombie Madame Hydra'' (1 copy)
'''Ambush''': '''Rise of the Living Dead'''
'''Fight''': KO one of your S.H.I.E.L.D. Heroes or HYDRA Allies.
'''Attack''': 4
'''VP''': 2

''Zombie Mr. Sinister'' (1 copy)
'''Ambush''': '''Rise of the Living Dead'''
'''Escape''': Sinister ascends to become a new Mastermind. He gains the ability, ""'''Master Strike''': Sinister captures a Bystander. Then, each player with exactly 6 cards reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or discards cards equal to the number of Bystanders Sinister has.""
'''Attack''': 7
'''VP''': 5

''Zombie M.O.D.O.K.'' (1 copy)
'''Ambush''': '''Rise of the Living Dead'''
'''Fight''': KO one of your heroes with a Recruit icon.
'''Attack''': 5
'''VP''': 3

''Zombie Mysterio'' (1 copy)
'''Ambush''': '''Rise of the Living Dead'''
'''Escape''': Shuffle this card into the Mastermind's face-down Tactics. It becomes a Mastermind Tactic that says ""'''Fight''': Draw two cards.""
'''Attack''': 6
'''VP''': 6

''Zombie Thanos'' (1 copy)
'''Ambush''': '''Rise of the Living Dead'''
'''Escape''': Thanos ascends to become a new Mastermind. He gains the ability, ""'''Master Strike''': Each player reveals their hand and KOs one of their non-grey Heroes.""
'''Attack''': 9
'''VP''': 6

''Zombie Venom'' (1 copy)
'''Ambush''': '''Rise of the Living Dead'''
You can't defeat Zombie Venom unless you have a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero.
'''Escape''': Each player gains a Wound.
'''Attack''': 5*
'''VP''': 3

"
Domain of Apocalypse	"

''Apocalyptic Blink'' (3 copies)
'''Fight''': Reveal the top card of your deck. Draw it or '''Teleport''' it.
'''Attack''': 5
'''VP''': 3

''Apocalyptic Magneto'' (1 copy)
'''Fight''': Gain an X-Men Hero from the HQ for free.
'''Escape''': Magneto ascends to become a new Mastermind. He gains the ability, ""'''Master Strike''': Each player reveals an X-Men Hero or discards down to four cards.""
'''Attack''': 8
'''VP''': 6

''Apocalyptic Rogue'' (2 copies)
'''Fight''': Reveal the top card of the Hero deck. The player of your choice gains it.
'''Escape''': Reveal the top card of the Hero deck. Each player reveals their hand and discards a card of that class.
'''Attack''': 6
'''VP''': 4

''Apocalyptic Weapon X'' (2 copies)
'''Fight''': KO one of your heroes.
'''Escape''': '''Cross-Dimensional Wolverine Rampage'''
'''Attack''': 7
'''VP''': 5

"
Limbo	"

''Inferno Colossus'' (2 copies)
'''Ambush''': The Mastermind captures a Bystander.
'''Fight''': KO one of your Heroes.
'''Attack''': 5
'''VP''': 3

''Inferno Cyclops'' (2 copies)
'''Ambush''': Inferno Cyclops captures a Bystander.
'''Escape''': The Mastermind captures all the Bystanders this Villain had.
''(Players still discard for the Bystander being carried away.)''
'''Attack''': 6
'''VP''': 4

''Inferno Darkchilde'' (2 copies)
'''Fight''': Reveal the top card of your deck. KO it or '''Teleport''' it.
'''Escape''': Each player '''Teleports''' a random card from their hand.
'''Attack''': 5
'''VP''': 3

''Inferno Nightcrawler'' (2 copies)
'''Fight''': Up to two cards in your hand that have a Recruit icon gain '''Teleport''' this turn.
'''Attack''': 4
'''VP''': 2

"
Manhattan (Earth-1610)	"

''Ultimate Captain America'' (2 copies)
'''Fight''': Gain this as a Hero.
'''Attack''': 6
---
https://cf.geekdo-static.com/mbs/mb_26286_0.png
You get +1 Attack for each color of Hero you have
0+ Attack

''Ultimate Captain Marvel'' (2 copies)
'''Fight''': Gain this as a Hero.
'''Attack''': 4
---
https://cf.geekdo-static.com/mbs/mb_26285_0.png
''Teleport''
2 Recruit

''Ultimate Thor'' (2 copies)
'''Fight''': Gain this as a Hero.
'''Escape''': '''Cross-Dimensional Thor Rampage'''
'''Attack''': 7
---
https://cf.geekdo-static.com/mbs/mb_26285_0.png
https://cf.geekdo-static.com/mbs/mb_26285_0.png: You get +3 Attack.
3+ Attack

''Ultimate Wasp'' (2 copies)
'''Fight''': Gain this as a Hero.
'''Attack''': 5
---
https://cf.geekdo-static.com/mbs/mb_26283_0.png
https://cf.geekdo-static.com/mbs/mb_26283_0.png: You get +2 Attack.
2+ Attack

"
