schemtext	text
Crush HYDRA	"<font size='4'>Crush HYDRA</font>
<b>Setup</b>: 8 Twists.
<b>Twists 1-7</b>: Each Adversary in the city captures a New Recruit, or if there are no more New Recruits, a Madame HYDRA.
<b>Twist 8</b>: Put all captured Allies from the city into the Overrun Pile.
<b>Special Rules</b>: An Adversary gets +1 Attack for each Ally it has captured. When you fight that Adversary, gain those Allies.
<b>Good Wins</b>: When there are 11 Allies in the Overrun Pile."
Graduation at Xavier's X-Academy	"<font size='4'>Graduation at Xavier's X-Academy</font>
<b>Setup</b>: 8 Twists. Stack 8 Bystanders next to this Plot as ""Young Mutants.""
<b>Twist</b>: Put a Bystander from next to this Plot into the Overrun Pile.
<b>Good Wins</b>: When there are 8 Bystanders in the Overrun Pile."
Infiltrate the Lair with Spies	"<font size='4'>Infiltrate the Lair with Spies</font>
<b>Setup</b>: 8 Twists, Stack 21 Bystanders next to this Plot as ""Infiltrating Spies.""
<b>Twist</b>: Put all Bystanders from the Lair into the Overrun pile. Then put a Bystander from next to this Plot into each Lair space under the Bridge, Streets, and Sewers.
<b>Special Rules</b>: When you recruit an Ally, kidnap any Bystander in that Lair space. When an Ally leaves the Lair in any other way, put any Bystander from that Lair space into the Overrun Pile.
<b>Good Wins</b>: When there are 12 Bystanders in the Overrun Pile."
Mass Produce War Machine Armor	"<font size='4'>Mass Produce War Machine Armor</font>
<b>Setup</b>: 8 Twists, Include 10 S.H.I.E.L.D. Assault Squads as one of the Backup Adversary groups.
<b>Twist</b>: Stack this Twist next to the Plot as ""War Machine Technology."" An Assault Squad from the current player's Victory Pile enters the Bridge.
<b>Special Rules</b>: Assault Squads get +1 Attack for each War Machine Technology next to the Plot.
<b>Good Wins</b>: When there are 3 Assault Squads in the Overrun Pile."
Resurrect Heroes with Norn Stones	"<font size='4'>Resurrect Heroes with Norn Stones</font>
<b>Setup</b>: 8 Twists.
<b>Twists 1-6</b>: An Adversary from the current player's Victory Pile enters the Bridge. Then play the top card of the Adversary Deck.
<b>Twists 7-8</b>: Each player puts an Adversary from their Victory Pile into the Overrun Pile.
<b>Good Wins</b>: When there are 3 Adversaries per player in the Overrun Pile.


"
Forge the Infinity Gauntlet	"<font size='4'>Forge the Infinity Gauntlet</font>
<b>Setup</b>: 8 Twists. Always include the Infinity Gems Villain Group.
<b>Twist</b>: Starting to your left and going clockwise, the first player with an Infinity Gem Artifact card in play or in their discard pile chooses on of those Infinity Gems to enter the city. Then put a Shard on each Infinity Gem in the city.
<b>Evil Wins</b>: When 6 Infinity Gem Villains are in the city and/or the Escape Pile.
<b>Evil Wins</b>: When a player controls 4 Infinity Gem Artifacts, that player is corrupted by power. That player wins, Evil wins, and all other players lose."
Intergalactic Kree Nega-Bomb	"<font size='4'>Intergalactic Kree Nega-Bomb</font>
<b>Setup</b>: 8 Twists. Make a face down 'Nega-Bomb Deck' of 6 Bystanders.
<b>Twist</b>: Shuffle this Twist into the Nega-Bomb Deck. Then reveal a random card from that deck. If it's a Bystander, rescue it. If it's a Twist, KO it, KO all Heroes from the HQ, and each player gains a Wound.
<b>Evil Wins</b>: When 16 non-grey Heroes are in the KO pile."
The Kree-Skrull War	"<font size='4'>The Kree-Skrull War</font>
<b>Setup</b>: 8 Twists. Always include Kree Starforce and Skrull Villain Groups.
<b>Twists 1-7</b>: All Kree and Skrulls escape from the city. Then, if there are more Kree than Skrulls in the Escape Pile, stack this Twist next to the Mastermind as a Kree Conquest. If there are more Skrulls than Kree in the Escape Pile, stack this Twist next to the Villain Deck as a Skrull Conquest.
<b>Twist 8</b>: Stack this Twist on the side with the most Conquests.
<b>Evil Wins</b>: When there are 4 Kree Conquests or 4 Skrull Conquests."
Unite the Shards	"<font size='4'>Unite the Shards</font>
<b>Setup</b>: 30 Shards in the supply. Twists equal to the number of players plus 5.
<b>Twist</b>: Stack this Twist next to the Scheme. Then for each Twist in that stack, the Mastermind gains a Shard.
<b>Special Rules</b>: During your turn, any number of times, you may spend 2 Recruit to gain one of the Mastermind's Shards.
<b>Evil Wins</b>: When the Mastermind has 10 Shards or when there are no more Shards in the supply.


"
Fear Itself	"<font size='4'>Fear Itself</font>
<b>Setup</b>: 10 Twists.
Earth's Fear Level starts at 8. The number of Allies in the Lair is always equal to the Fear Level.
<b>Twist</b>: KO an Ally from the Lair. The Fear Level goes down by 1.
<b>Good Wins</b>: When the Fear Level is 0."
Last Stand at Avengers Tower	"<font size='4'>Last Stand at Avengers Tower</font>
<b>Setup</b>: 6 Twists.
<b>Twist</b>: Stack this Twist above the Rooftops as StarkTech Defenses. If there is an Adversary on the Rooftops, choose 3 Allies from the Lair and KO them.
<b>Special Rules</b>: While an Adversary is on the Rooftops, it gets +1 Attack for each StarkTech Defenses.
<b>Good Wins</b>: When there are 13 non-grey Allies in the KO pile."
The Traitor	"<font size='4'>The Traitor</font>
<b>Setup</b>: 2+ players only. 8 Twists. Shuffle a 'Betrayal Deck' of 3 Bindings per player and a 9th Twist.
<b>Twists 1-3</b>: If there is no revealed Traitor, each player puts a 'Betrayal Card' from the Betrayal Deck face down in front of them and looks at it.
<b>Special Rules</b>: During your turn, you may reveal a Twist from your Betrayal Cards to become 'the Traitor'. If you do, each other player gains all the Bindings from their Betrayal Cards.
During your turns, you may spend 4 Attack any number of times to play an additional card from the Adversary Deck.
<b>Twist 8</b>: Good wins! The Traitor reveals themself and also wins.
<b>When the players win</b>: The Traitor reveals themself and loses.


"
Build an Army of Annihilation	"<font size='4'>Build an Army of Annihilation</font>
<b>Setup</b>: 9 Twists. Put 10 extra Annihilation Wave Henchmen in that KO pile.
<b>Twist</b>: KO all Annihilation Henchmen from the players' Victory Piles. Stack this Twist next to the Scheme. Then, for each Twist in that stack, put an Annihilation Henchman from the KO pile next to the Mastermind. Players can fight those Henchmen.
<b>Evil Wins</b>: When there are 10 Annihilation Henchmen next to the Mastermind."
Corrupt the Next Generation of Heroes	"<font size='4'>Corrupt the Next Generation of Heroes</font>
<b>Setup</b>: 8 Twists. Add 10 Sidekicks to the Villain Deck.
<b>Special Rules</b>: Sidekicks in the Villain Deck and city are Villains. Their Attack is 2 plus the number of Twists stacked next to this Scheme. When you defeat a Sidekick, gain it to the top of your deck.
<b>Twists 1-7</b>: Each player returns a Sidekick from their discard pile to the Sidekick Stack. Then, two Sidekicks from the Sidekick Stack enter the city.
<b>Twist 8</b>: All Sidekicks in the city escape.
<b>Evil Wins</b>: When 4 Sidekicks escape."
Crush Them With My Bare Hands	"<font size='4'>Crush Them With My Bare Hands</font>
<b>Setup</b>: 5 Twists. If playing solo, add an extra Villain Group.
<b>Twist</b>: This Twist becomes a Master Strike that takes effect immediately.
<b>Evil Wins</b>: When 8 Master Strikes have taken effect."
Dark Alliance	"<font size='4'>Dark Alliance</font>
<b>Setup</b>: 8 Twists.
<b>Twist 1</b>: Add a random second Mastermind to the game with one Mastermind Tactic.
<b>Twists 2-4</b>: If the second Mastermind is still in play, it gains another Mastermind Tactic.
<b>Twists 5-6</b>: Each Mastermind captures a Bystander.
<b>Twist 7</b>: Evil Wins!"
Fragmented Realities	"<font size='4'>Fragmented Realities</font>
<b>Setup</b>: Add an extra Villain Group. Shuffle the Villain Deck, then split it as evenly as possible into a Villain Deck for each player. Then, shuffle 2 Twists into each player's Villain Deck.
<b>Special Rules</b>: The normal city does not exist. Instead, each player has a different dimension in front of them with one city space. Villains and Bystanders from your Villain Deck enter your dimension. You can fight Villains in any dimension.
<b>Twist</b>: Play two card from your Villain Deck
<b>Evil Wins</b>: When the number of non-grey Heroes in the KO pile is 5 times the number of players."
Master of Tyrants	"<font size='4'>Master of Tyrants</font>
<b>Setup</b>: 8 Twists. Choose 3 other Masterminds, and shuffle their 12 Tactics into the Villain Deck. Those Tactics are ""Tyrant Villains"" with their printed Attack and no abilities.
<b>Twist 1-7</b>: Put this Twist under a Tyrant Villain as ""Dark Power."" It gets +2 Attack.
<b>Twist 8</b>: All Tyrant Villains in the city escape.
<b>Evil Wins</b>: When 5 Tyrant Villains escape."
Pan-Dimensional Plague	"<font size='4'>Pan-Dimensional Plague</font>
<b>Setup</b>: 10 Twists.
<b>Twist</b>: KO all Wounds from next to the HQ. Then, put a Wound from the Wound Stack next to each Hero in the HQ.
<b>Special Rules</b>: When a player recruits a Hero with a Wound next to it, that player can either gain that Wound or pay 1 Recruit to return that Wound to the Wound Stack.
<b>Evil Wins</b>: When the Wound Stack runs out."
Smash Two Dimensions Together	"<font size='4'>Smash Two Dimensions Together</font>
<b>Setup</b>: 8 Twists. Add an extra Villain Group. Put the Villain Deck on the Bank space.
<b>Special Rules</b>: The Sewers and Bank do not exist, so the city is only 3 spaces. There is a parallel dimension with 3 city spaces above the main city. Whenever a Villain enters the city, the current player chooses which city it enters.
<b>Twist 1-7</b>: Play two cards from the Villain Deck.
<b>Twist 8</b>: All Villains in both dimensions escape.
<b>Evil Wins</b>: When 10 Villains escape.


"
Deadlands Hordes Charge the Wall	"<font size='4'>Deadlands Hordes Charge the Wall</font>
<b>Setup</b>: 8 Twists. Add an extra Villain Group.
<b>Twist</b>: Each Villain simultaneously charges two spaces. Play another card from the Villain Deck.
<b>Evil Wins</b>: When the number of escaped Villains equals the number of players plus 6."
Enthrone the Barons of Battleworld	"<font size='4'>Enthrone the Barons of Battleworld</font>
<b>Setup</b>: 8 Twists.
<b>Twists 1-7</b>: The Villain in the city or Escape Pile with the highest printed Attack ascends to become a new Mastermind. It gets +2 Attack. It gains the ability ""<i>'Master Strike</i>': Each Player discards a card with cost equal to this Mastermind's printed VP."" ''(Keep them separate from any Villains who ascend through Escape effects.)''
<b>Twist 8</b>: The Villain in each player's Victory Pile with the highest printed Attack ascends the same way.
<b>Evil Wins</b>: When there are six Masterminds."
The Fountain of Eternal Life	"<font size='4'>The Fountain of Eternal Life</font>
<b>Setup</b>: 8 Twists. (1 player: 4 Twists.)
<b>Special Rules</b>: All Villains and Mastermind Tactics have ""<i>'Fight</i>': '''Fateful Resurrection'''.""
<b>Twist</b>: A Villain from your Victory Pile enters the Sewers. Put this Twist on the bottom of the Villain Deck.
<b>Evil Wins</b>: When the number of escaped Villains is 3 times the number of players."
The God-Emperor of Battleworld	"<font size='4'>The God-Emperor of Battleworld</font>
<b>Setup</b>: 8 Twists.
<b>Twist 1</b>: This Scheme ascends to becomes (sic) a new 9-Attack ""God-Emperor"" Mastermind worth 9 VP. It has ""<i>'Master Strike</i>': Each player with exactly six cards in hand reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or puts two cards from their hand on top of their deck.""
<b>Twist 2-6</b>: Stack this Twist next to the Scheme. The God-Emperor gets another +2 Attack.
<b>Twist 7</b>: If the God-Emperor lives, it KOs all other Masterminds.
<b>Twist 8</b>: Evil wins! <i>(If any Mastermind still lives.)</i>"
The Mark of Khonshu	"<font size='4'>The Mark of Khonshu</font>
<b>Setup</b>: 10 Twists. Always include Khonshu Guardians. Add all fourteen cards for an extra Hero to the Villain Deck.
<b>Special Rules</b>: Heroes in the Villain Deck are ""Khonshu Guardian"" Villains with Attack equal to their printed cost. While in the Sewers, Rooftops, or Bridge, they are in ""wolf form"" and have double their Attack. When you defeat one, gain it as a Hero.
<b>Twist</b>: Play two cards from the Villain Deck.
<b>Evil Wins</b>: When 7 Khonshu Guardians escape."
Master the Mysteries of Kung-Fu	"<font size='4'>Master the Mysteries of Kung-Fu</font>
<b>Setup</b>: 8 Twists.
<b>Twist</b>: Stack this Twist next to the Scheme.
<b>Special Rules</b>: Villains and the Mastermind have the Circle of Kung-Fu matching the number of Twists stacked here.
<b>Evil Wins</b>: When the number of escaped Villains is double the number of players."
Secret Wars	"<font size='4'>Secret Wars</font>
<b>Setup</b>: 8 Twists.
<b>Twists 1-3</b>: Add another random Mastermind to the game with one Tactic.
<b>Twist 8</b>: Evil wins!"
Sinister Ambitions	"<font size='4'>Sinister Ambitions</font>
<b>Setup</b>: 6 Twists. Add 10 random Ambition cards to the Villain Deck.
<b>Special Rules</b>: Ambition cards are Villains with their printed Attack. Add +1 Attack for each Twist stacked next to the Scheme. They are worth 4 VP. Whenever an Ambition Villain escapes, do its Ambition effect.
<b>Twist 1-5</b>: Stack this Twist next to the Scheme. Play another card from the Villain Deck.
<b>Twist 6</b>: Each Ambition Villain in the city escapes.
<b>Evil Wins</b>: When 4 Ambition Villains escape.


"
Brainwash the Military	"<font size='4'>Brainwash the Military</font>
<b>Setup</b>: 7 Twists. Add 12 S.H.I.E.L.D. Officers to the Villain Deck.
<b>Special Rules</b>: S.H.I.E.L.D. Officers in the Villain Deck are Villains. Their Attack is 3 plus the number of Twists stacked next to this Scheme. When you defeat a S.H.I.E.L.D. Officer, gain it as a Hero.
<b>Twist 1-6</b>: Stack this Twists next to the Scheme as a ""Traitor Battalion."" Play another card from the Villain Deck.
<b>Twist 7</b>: All S.H.I.E.L.D. Officers in the city escape.
<b>Evil Wins</b>: When 5 S.H.I.E.L.D. Officers escape."
Change the Outcome of WWII	"<font size='4'>Change the Outcome of WWII</font>
<b>Setup</b>: 7 Twists. Add an extra Villain Group.
<b>Twist</b>: The Axis invades a new country. Put all Villains and Bystanders from the city on the bottom of the Villain Deck. The number of city spaces changes. Play 2 cards from the Villain Deck. If any Villains escape this country, stack a Twist next to the scheme as a ""conquered capital.""
<b>Twist 1</b>: Poland: 4 spaces.
<b>Twist 2</b>: France: 3 spaces.
<b>Twist 3</b>: USSR: 6 spaces.
<b>Twist 4</b>: England: 3 spaces.
<b>Twist 5</b>: USA: 5 spaces.
<b>Twist 6</b>: Australia: 2 spaces.
<b>Twist 7</b>: Switzerland: 1 space.
<b>Evil Wins</b>: When 3 capitals are conquered."
Go Back in Time to Slay Heroes' Ancestors	"<font size='4'>Go Back in Time to Slay Heroes' Ancestors</font>
<b>Setup</b>: 9 Twists. 8 Heroes in Hero deck.
<b>Twist</b>: Put a Hero form the HQ next to the Scheme, ""Purged from the Timestream.""
<b>Special Rules</b>: Whenever a Hero is in the HQ whose Hero Name has been Purged from the Timestream, KO that Hero.
<b>Evil Wins</b>: When the Hero Deck runs out."
The Unbreakable Enigma Code	"<font size='4'>The Unbreakable Enigma Code</font>
<b>Setup</b>: 6 Twists.
<b>Twists 1-5</b>: Put a card from the Hero Deck face down next to the scheme as part of the ""Enigma Code."" Mix up those cards face-down.
<b>Twist 6</b>: Evil Wins!
<b>Special Rules</b>: Whenever you fight a Villain, you may pay 1 Recruit to look at one of the face-down Enigma Cards. When you fight the Mastermind, first guess the color of each Enigma card, and then reveal them. If you guessed them right, fight the Mastermind as normal. If not, your turn ends, and mix up the Enigma cards face-down.


"
Avengers vs. X-Men	"<font size='4'>Avengers vs. X-Men</font>
<b>Setup</b>: 9 Twists. Hero Deck has 3 Heroes of one Team and 3 Heroes of another Team. (Avengers, X-Men, Spider-Friends, Marvel Knights, etc.)
<b>Twist</b>: 1-7 Each player reveals their hand. Each player that has cards of both those teams gains a Wound.
<b>Twist 8</b>: Evil wins!"
Dark Reign of H.A.M.M.E.R. Officers	"<font size='4'>Dark Reign of H.A.M.M.E.R. Officers</font>
<b>Setup</b>: 7 Twists.
<b>Twist</b>: Stack this Twist next to the Scheme. Then, for each Twist in that stack, put a S.H.I.E.L.D. Officer next to the Mastermind as a 3 Attack Villain with S.H.I.E.L.D. Clearance. You can fight them to gain them as Heroes.
<b>Evil Wins</b>: When there are 7 Officers next to the Mastermind."
Epic Super Hero Civil War	"<font size='4'>Epic Super Hero Civil War</font>
<b>Setup</b>: 1 player: 4 Heroes in Hero Deck. 1-3 players: 9 Twists. 4-5 players: 6 Twists.
<b>Twist</b>: Stack this Twist next to the Scheme. Then, for each Twist in that stack, KO a Hero from the HQ and immediately refill that HQ space.
<b>Evil Wins</b>: When the Hero Deck runs out."
Imprison Unregistered Superhumans	"<font size='4'>Imprison Unregistered Superhumans</font>
<b>Setup</b>: 11 Twists.
<b>Twist 1, 3, 5, 7, 9</b>: This Scheme fortifies the city space to its right starting with the Bridge. Villains in that space get +1 Attack.
Other Twists: If there's a Villain in that fortified city space, KO a bystander.
<b>Evil Wins</b>: When 3 Bystanders are in the KO pile and/or Escape Pile."
Nitro the Supervillain Threatens Crowds	"<font size='4'>Nitro the Supervillain Threatens Crowds</font>
<b>Setup</b>: 8 Twists.
<b>Twist</b>: KO all Bystanders held by Villains. Then, the Villain with the highest Attack captures 3 Bystanders.
<b>Evil Wins</b>: When 15 Bystanders are in the KO pile and/or Escape Pile."
Predict Future Crime	"<font size='4'>Predict Future Crime</font>
<b>Setup</b>: 6 Twists. Add an extra Villain Group.
<b>Twist</b>: Reveal the top 3 cards of the Villain Deck. Play each Villain you revealed. Put the rest back in any order.
<b>Evil Wins</b>: When there are 2 Villains per player in the Escape Pile."
