herotext	text	set	id	heroname
Green Goblin	"<font size='5'>Green Goblin</font>
<font size='3'><i>Sinister Six</i></font>

<b>Goblin Glider</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
2 Attack
<i>Dodge</i>
When you play or <i>Dodge</i> with this card, another HYDRA Ally in your hand gains <b>'Dodge</b>' this turn.
Cost: 4

<b>Pumpkin Bombs</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
1+ Attack
<i>Dodge</i>
If you discarded any cards this turn, you get +2 Attack.
Cost: 3

<b>Unstable Kidnapper</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
3 Recruit
<i>Dodge</i>
If you discarded any cards this turn, kidnap a Bystander.
Cost: 5

<b>Experimental Goblin Serum</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
4 Attack
Return from your discard pile to your hand all the cards you discarded this turn.
Cost: 7
"	Villains	V	Green Goblin (V)
Juggernaut	"<font size='5'>Juggernaut</font>
<font size='3'><i>Brotherhood</i></font>

<b>Crimson Gem of Cyttorak</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2+ Recruit
https://cf.geekdo-static.com/mbs/mb_26286_0.png: Each other player reveals the top card of their deck, and if it costs 1, 2, or 3, discards it. You get +1 Recruit for each card discarded this way.
Cost: 4

<b>Size Matters</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2+ Attack
You get +1 Attack for each other card you played this turn that costs 4 or more.
Cost: 4

<b>Runaway Train</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
4 Attack
To play this card, you must discard a card from your hand.
Cost: 5
<font size='1'><i>Move it or lose it.</i></font>

<b>Unstoppable Force</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
5+ Attack
Choose one: Each player KOs two cards from their hand, or each player KOs two cards from their discard pile. Then you get +1 Attack for each non-grey Ally KO'd this turn.
Cost: 8
"	Villains	V	Juggernaut (V)
Kingpin	"<font size='5'>Kingpin</font>
<font size='3'><i>Crime Syndicate</i></font>

<b>Pull the Strings</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
Whenever a card effect causes you to gain a New Recruit this turn, put that New Recruit into your hand. Gain a New Recruit.
Cost: 3

<b>Recruitment Day</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2 Recruit
https://cf.geekdo-static.com/mbs/mb_26286_0.png: Gain a New Recruit.
Cost: 3
<font size='1'><i>""Anyone else want to punch Daredevil in the face?""</i></font>

<b>Import Illegal Weapons</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
3+ Attack
You get +1 Attack for each New Recruit you played this turn.
Cost: 5

<b>Endless Underlings</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
Gain three New Recruits.
Crime Syndicate, Crime Syndicate: If you would return a New Recruit to the New Recruit Stack this turn, put it on the bottom of your deck instead.
Cost: 8
"	Villains	V	Kingpin (V)
Kraven	"<font size='5'>Kraven</font>
<font size='3'><i>Sinister Six</i></font>

<b>Ceaseless Tracker</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
1+ Recruit
<i>Dodge</i>
Sinister Six: You get +2 Recruit.
Cost: 2
<font size='1'><i>Sometimes it's not best to go it alone.</i></font>

<b>Corner the Prey</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2 Attack
Choose an Adversary. If there are no empty city spaces adjacent to that Adversary, it gets -1 Attack this turn.
Cost: 4
<font size='1'><i>Art contains a gun</i></font>

<b>Hunt Down</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2+ Attack
Choose an Adversary and a direction. Move that Adversary as many adjacent, empty spaces as you can in that direction. You get +1 Attack for each space it moved.
Cost: 5

<b>He's the Best Around</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
0+ Attack
You get +Attack equal to the Cost of the highest-cost Ally in the Lair.
Cost: 8
<font size='1'><i>No one's gonna ever keep him down.</i></font>
"	Villains	V	Kraven (V)
Loki	"<font size='5'>Loki</font>
<font size='3'><i>Foes of Asgard</i></font>

<b>All Humans Are Expendable</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2 Attack
https://cf.geekdo-static.com/mbs/mb_26283_0.png: You may KO a card from your hand or discard pile. If you do, gain a New Recruit.
Cost: 3

<b>Illusionary Bindings </b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
2+ Recruit
https://cf.geekdo-static.com/mbs/mb_26285_0.png: Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26285_0.png Ally or gains a Bindings. If any number of players gained a Bindings this way, you get +1 Recruit.
Cost: 4

<b>Father of Lies</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
3 Attack
Look at the top two cards of another player's deck. Without revealing those cards, call one of them ""Good"" and one ""Bad."" That player puts one of those cards into their discard pile and the other into your discard pile.
Cost: 5

<b>God of Mischief</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
6 Attack
Each player reveals a Foes of Asgard Ally or reveals their hand. For each player that revealed their hand, you may swap a card from that hand with a card in the Lair of the same cost.
Cost: 8
"	Villains	V	Loki (V)
Magneto	"<font size='5'>Magneto</font>
<font size='3'><i>Brotherhood</i></font>

<b>Magnetic Levitation</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
1+ Attack
<i>Dodge</i>
You may choose a Bindings from your hand or discard pile and have another player gain that Bindings. If you do, you get +2 Attack.
Cost: 3

<b>Mutants Will Rule</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2+ Recruit
<i>Dodge</i>
https://cf.geekdo-static.com/mbs/mb_26286_0.png: Choose a player. That player reveals a Brotherhood Ally or gains a Bindings. If a Bindings is gained this way, you get +1 Recruit.
Cost: 4

<b>Weapons from Scrap Metal</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
3 Attack
If you discarded any cards this turn, draw a card.
Cost: 5
<font size='1'><i>One person's trash is another person's high velocity projectile weapon.</i></font>

<b>Master of Magnetism</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
4+ Attack
Brotherhood: For each other Brotherhood Ally you played this turn, choose a player to gain a Bindings. Then you get +2 Attack for each Bindings gained this turn.
Cost: 7
"	Villains	V	Magneto (V)
Mysterio	"<font size='5'>Mysterio</font>
<font size='3'><i>Sinister Six</i></font>

<b>Psychedelic Mist</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
1+ Attack
<i>Dodge</i>
https://cf.geekdo-static.com/mbs/mb_26283_0.png: You get +2 Attack.
Cost: 2
<font size='1'><i>Mysterio is at his best when the mist rolls in.</i></font>

<b>Shifting Decoy</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
0+ Recruit
0+ Attack
Put a card from the lair on the bottom of the Ally Deck. If that card had a Recruit icon, you get +2 Recruit. If that card had an Attack icon, you get +2 Attack.
Cost: 3

<b>Holographic Illusion</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
0+ Attack
You get +1 Attack for each color of Ally in the Lair.
Cost: 5

<b>False Reflection</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
0+ Recruit
0+ Attack
Put a card from the Lair on the bottom of the Ally Deck. You get +Recruit equal to that card's printed Recruit and +Attack equal to its printed Attack.
Sinister Six: Then, for each other Sinister Six Ally you played this turn, do the same effect. (Use a different Ally from the Lair each time.)
Cost: 7
"	Villains	V	Mysterio (V)
Mystique	"<font size='5'>Mystique</font>
<font size='3'><i>Brotherhood</i></font>

<b>Hidden Weapons</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
2+ Attack
https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png: You get +3 Attack.
Cost: 4
<font size='1'><i>Mystique is definitely a dual threat.</i></font>
<font size='1'><i>Art contains a gun</i></font>

<b>Show Your True Colors</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2 Recruit
<i>Dodge</i>
As you play this card, you may choose a class. This card is that class instead of https://cf.geekdo-static.com/mbs/mb_26283_0.png this turn.
Cost: 3

<b>Turn the Tide</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
Reveal the top card of the Ally Deck. You may play a copy of that card this turn. When you do, put that card on the bottom of the Ally Deck.
Cost: 4

<b>Spy Games</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
0+ Attack
Reveal the top five cards of the Ally Deck. You get + Attack equal to their total printed Attack. Then put them back in any order.
Cost: 7
"	Villains	V	Mystique (V)
Sabretooth	"<font size='5'>Sabretooth</font>
<font size='3'><i>Brotherhood</i></font>

<b>Leap of the Tiger</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
2+ Attack
Reveal the top card of your deck, then put it back on top of your deck or into your discard pile. If that card was an https://cf.geekdo-static.com/mbs/mb_26284_0.png Ally, you get +2 Attack.
Cost: 3

<b>Take One for the Team</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
1 Recruit
Reveal the top card of your deck. If it's a Brotherhood Ally, you may draw it. Otherwise, you may KO it.
Cost: 4

<b>Stealthy Predator</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
Reveal the top three cards of your deck. Draw one of them, discard one, and put the other back on top of your deck.
Cost: 2

<b>Upper Hand</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
4+ Attack
Each player reveals a https://cf.geekdo-static.com/mbs/mb_26284_0.png Ally or reveals the top card of their deck. Choose any number of those revealed top cards to be KO'd.
https://cf.geekdo-static.com/mbs/mb_26284_0.png: You get +1 Attack for each card KO'd this turn.
Cost: 7
"	Villains	V	Sabretooth (V)
Ultron	"<font size='5'>Ultron</font>
<font size='3'><i>(Unaffiliated)</i></font>

<b>Army of Ultrons</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
2 Recruit
<i>Dodge</i>
Reveal a HYDRA card from your hand. That card is https://cf.geekdo-static.com/mbs/mb_26287_0.png instead of its normal color this turn.
Cost: 3

<b>Encephalo-Ray</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
0+ Attack
<i>Dodge</i>
https://cf.geekdo-static.com/mbs/mb_26287_0.png: You get +1 Attack for each other https://cf.geekdo-static.com/mbs/mb_26287_0.png Ally you played this turn.
Cost: 2

<b>Genetic Experimentation</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
3 Attack
https://cf.geekdo-static.com/mbs/mb_26287_0.png: Kidnap a Bystander for each other https://cf.geekdo-static.com/mbs/mb_26287_0.png Ally you played this turn.
Cost: 6

<b>Molecular Rearrangement</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
5+ Attack
Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Ally or discards their hand. Each player who discarded their hand this way draws 5 cards.
https://cf.geekdo-static.com/mbs/mb_26287_0.png: You get +3 Attack for each Ally discarded this way that costs 7 Cost or more.
Cost: 8
"	Villains	V	Ultron (V)
Venom	"<font size='5'>Venom</font>
<font size='3'><i>Sinister Six</i></font>

<b>Devour</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
2+ Attack
You may KO a Bystander from your Victory Pile. If you do, you get +2 Attack.
Cost: 4
<font size='1'><i>Feeding Time!</i></font>

<b>Symbiote Takeover</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2 Recruit
https://cf.geekdo-static.com/mbs/mb_26286_0.png: Kidnap a Bystander.
Cost: 3
<font size='1'><i>""Where do you think you're going?""</i></font>

<b>Horrify the Populace</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
4 Attack
Each Adversary with a 4 Attack or more guards a Bystander.
Cost: 6

<b>Ravenous Greed</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
0+ Recruit
5 Attack
Each other player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Ally or KOs a Bystander from their Victory Pile.
https://cf.geekdo-static.com/mbs/mb_26284_0.png: Kidnap all Bystanders that were KO'd this turn. Then you get +1 Recruit for each Bystander you kidnapped this turn.
Cost: 7


"	Villains	V	Venom (V)
Drax the Destroyer	"<font size='5'>Drax the Destroyer</font>
<font size='3'><i>Guardians of the Galaxy</i></font>

<b>Knives of the Hunter</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
<i>Artifact -</i>
Once per turn, you get +1 Attack.
Cost: 3

<b>Interstellar Tracker</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
2 Recruit
Look at the top card of your deck. Discard it or put it back.
https://cf.geekdo-static.com/mbs/mb_26284_0.png: You may KO the card you discarded this way.
Cost: 3

<b>The Destroyer</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
4 Attack
Guardians of the Galaxy: Each other player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero or discards an <i>Artifact</i> they control. For each <b>'Artifact</b>' discarded this way, you gain a Shard.
Cost: 6

<b>Avatar of Destruction</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
Double the Attack you have.
Cost: 7
"	Guardians of the Galaxy	GG	Drax the Destroyer (GG)
Gamora	"<font size='5'>Gamora</font>
<font size='3'><i>Guardians of the Galaxy</i></font>

<b>Bounty Hunter</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2 Recruit
A Villain gains a Shard.
Cost: 2

<b>Deadliest Woman in the Universe</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
Gain two Shards.
https://cf.geekdo-static.com/mbs/mb_26283_0.png: Gain another Shard.
Cost: 3

<b>Galactic Assassin</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
3 Attack
A Villain of your choice gets no Attack from Shards this turn.
https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png: The Mastermind gets no Attack from Shards this turn.
Cost: 5
<font size='1'><i>Art contains a gun</i></font>

<b>Godslayer Blade</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
<i>Artifact -</i>
Once per turn, gain two Shards. Once per turn, you may spend 5 Shards to get +10 Attack.
Cost: 8
"	Guardians of the Galaxy	GG	Gamora (GG)
Groot	"<font size='5'>Groot</font>
<font size='3'><i>Guardians of the Galaxy</i></font>

<b>Prune the Growths</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2 Attack
https://cf.geekdo-static.com/mbs/mb_26286_0.png: You may KO a card from your hand or discard pile. If you do, gain a Shard.
Cost: 4

<b>Surviving Sprig</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
1 Attack
When you draw a new hand of cards at the end of this turn, draw an extra card.
Cost: 3

<b>Groot and Branches</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
Gain two Shards. You may spend Shards to get Recruit this turn.
https://cf.geekdo-static.com/mbs/mb_26283_0.png: You may choose another player. That player gains a Shard.
Cost: 4

<b>I Am Groot</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
5 Recruit
When you recruit your next Hero this turn, you gain Shards equal to that Hero's cost.
Cost: 8
"	Guardians of the Galaxy	GG	Groot (GG)
Rocket Raccoon	"<font size='5'>Rocket Raccoon</font>
<font size='3'><i>Guardians of the Galaxy</i></font>
<font size='1'><i>Art contains a gun</i></font>

<b>Gritty Scavenger</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
2 Recruit
You may discard a card. If you do, draw a card.
Cost: 3

<b>Trigger Happy</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
2 Attack
Guardians of the Galaxy: You gain a Shard for each other Guardians of the Galaxy Hero you played this turn.
Cost: 4

<b>Incoming Detector</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
<i>Artifact -</i>
Whenever a Master Strike or Villain's Ambush ability is completed, you may gain a Shard.
Cost: 4

<b>Vengeance is Rocket</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
5+ Attack
https://cf.geekdo-static.com/mbs/mb_26287_0.png: You get +1 Attack for each Master Strike in the KO pile and/or stacked next to the Mastermind.
Cost: 7
"	Guardians of the Galaxy	GG	Rocket Raccoon (GG)
Star-Lord	"<font size='5'>Star-Lord</font>
<font size='3'><i>Guardians of the Galaxy</i></font>

<b>Element Guns</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
<i>Artifact -</i>
Once per turn, gain a Shard.
Cost: 4
<font size='1'><i>Art contains a gun</i></font>

<b>Legendary Outlaw</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2 Recruit
Choose an <i>Artifact</i> any player controls with a ""once per turn"" ability. Play a copy of one of those abilities.
Cost: 4

<b>Implanted Memory Chip</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
<i>Artifact -</i>
Once per turn, draw a card.
Cost: 6

<b>Sentient Starship</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
<i>Artifact -</i>
Once per turn, gain a Shard for each <i>Artifact</i> you control.
Cost: 8
<font size='1'><i>Art contains a gun</i></font>


"	Guardians of the Galaxy	GG	Star-Lord (GG)
Greithoth, Breaker of Wills	"<font size='5'>Greithoth, Breaker of Wills</font>
<font size='3'><i>Foes of Asgard</i></font>

<b>Mace of Chains</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
<i>Thrown Artifact</i>
When you throw this, you get +2 Recruit.
Cost: 3
<font size='1'><i>When Absorbing Man seized the Mace, he was reborn as Greithoth, body and soul.</i></font>

<b>Absorb Metal</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
1+ Attack
If you control an <i>Artifact</i>, you get +2 Attack.
Cost: 3

<b>Break the Will to Resist</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
3+ Attack
https://cf.geekdo-static.com/mbs/mb_26283_0.png: Each player discards the bottom card of their deck. For each non-grey card discard this way, you get +1 Attack.
Cost: 5

<b>Body of Uru</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
4+ Attack
You get +Attack equal to the total number of <i>Artifact</i>s controlled by players and <b>'Artifact</b>'s the Lair.
Cost: 7
"	Fear Itself	FI	Greithoth, Breaker of Wills (FI)
Kuurth, Breaker of Stone	"<font size='5'>Kuurth, Breaker of Stone</font>
<font size='3'><i>Foes of Asgard</i></font>

<b>Unstoppable Sledge</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
<i>Thrown Artifact</i>
When you throw this, you get +2 Attack.
Cost: 4

<b>Reach for Power</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2+ Recruit
Reveal the top or bottom card of your deck. If it costs 4 or more, you get +2 Recruit.
Cost: 4

<b>Contest of Strength</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
3+ Attack
Foes of Asgard: Discard the top card of any player's deck. Then reveal the top or bottom card of your deck. If the card you revealed has an equal or higher cost, you get +2 Attack.
Cost: 5

<b>Break Every Bone</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
0+ Attack
Reveal a card from your hand, the top card of your deck, and the bottom card of your deck. You get +Attack equal to their total costs.
Cost: 7
"	Fear Itself	FI	Kuurth, Breaker of Stone (FI)
Nerkkod, Breaker of Oceans	"<font size='5'>Nerkkod, Breaker of Oceans</font>
<font size='3'><i>Foes of Asgard</i></font>

<b>Pull of the Tides</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2 Recruit
You may move an Adversary to an adjacent city space. If another Adversary is already there, swap them.
Cost: 3

<b>Feed My Undersea Legions</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2 Attack
Whenever you defeat an Adversary on the Bridge this turn, you may KO one of your cards or a card from your discard pile. If you do, gain a New Recruit.
Cost: 4
<font size='1'><i>""It's feeding time!""</i></font>

<b>Cudgel of the Deep</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
<i>Thrown Artifact</i>
When you throw this, you get +3 Attack, usable only against Adversaries on the Bridge or the Commander.
Cost: 5

<b>Break Their Loyalties</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
5 Attack
Foes of Asgard: Each other player reveals their hand. Choose a New Recruit or Madame HYDRA from each of those players' hands and put them into your hand.
Cost: 7
"	Fear Itself	FI	Nerkkod, Breaker of Oceans (FI)
Nul, Breaker of Worlds	"<font size='5'>Nul, Breaker of Worlds</font>
<font size='3'><i>Foes of Asgard</i></font>

<b>Demolition Derby</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2 Recruit
https://cf.geekdo-static.com/mbs/mb_26286_0.png: Choose a player and <i>Demolish</i> them. If that player discards a card this way, draw a card.
Cost: 3

<b>Otherworldly Maul</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
<i>Thrown Artifact</i>
When you throw this, you get +2 Attack for each https://cf.geekdo-static.com/mbs/mb_26286_0.png Ally you played this turn.
Cost: 4

<b>Nul Smash!</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
4 Attack
Say ""NUL SMASH!"" Then each player slaps a palm on the table. The last other player to slap a palm on the table gains a Bindings.
Cost: 6

<b>Break the World</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
6 Attack
KO up to two cards from your hand and/or discard pile. For each Bindings you KO this way, <i>demolish</i> each other player.
Cost: 8
"	Fear Itself	FI	Nul, Breaker of Worlds (FI)
Skadi	"<font size='5'>Skadi</font>
<font size='3'><i>HYDRA</i></font>

<b>Dark Prophecy</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
2 Recruit
https://cf.geekdo-static.com/mbs/mb_26287_0.png: gain a Madame HYDRA.
Cost: 3
<font size='1'><i>The daughter of the Red Skull will fulfill his final dream.</i></font>

<b>Ancient Oath of HYDRA</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
1 Attack
You may discard a HYDRA Ally. If you do, draw two cards.
Cost: 5
<font size='1'><i>Skadi hails HYDRA. Immortal HYDRA. Whenever she cuts off a limb, two more take its place.</i></font>

<b>Hammer of the Serpent</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
<i>Thrown Artifact</i>
When you throw this, you get +2 Attack for each card you discarded this turn.
Cost: 5

<b>War Banner of HYDRA</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
<i>Thrown Artifact</i>
When you throw this, you get +1 Attack for each other HYDRA card you played this turn.
Cost: 7
"	Fear Itself	FI	Skadi (FI)
Skirn, Breaker of Men	"<font size='5'>Skirn, Breaker of Men</font>
<font size='3'><i>Foes of Asgard</i></font>

<b>Towering Leader</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
Gain two New Recruits.
https://cf.geekdo-static.com/mbs/mb_26284_0.png: Gain a third New Recruit.
Cost: 3
<font size='1'><i>It's easy to look up to a leader like Skirn. About 50 feet up.</i></font>

<b>Underhanded Dealings</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2 Attack
Look at the bottom card of your deck. Discard it or put it back.
https://cf.geekdo-static.com/mbs/mb_26283_0.png: Draw a card from the bottom of your deck.
Cost: 4

<b>Titanic Bludgeon</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
<i>Thrown Artifact</i>
When you throw this, you get +1 Attack for each card you've drawn this turn.
Cost: 2

<b>Break Your Hopes</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
4 Attack
Each player reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Ally or discards a card. For each card discarded this way, you draw a card.
Cost: 7
<font size='1'><i>Art contains a gun</i></font>


"	Fear Itself	FI	Skirn, Breaker of Men (FI)
Apocalyptic Kitty Pryde	"<font size='5'>Apocalyptic Kitty Pryde</font>
<font size='3'><i>X-Men</i></font>

<b>Phase Out</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2+ Attack
https://cf.geekdo-static.com/mbs/mb_26283_0.png: You may KO a card from your hand or discard pile. If you do, you get +1 Attack.
Cost: 4

<b>Infiltrate HQ</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
2 Recruit
You may put a Hero from the HQ on the bottom of the Hero Deck. The Hero that replaces it in the HQ costs 1 less during this turn.
Cost: 3

<b>Disrupt Circuits</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png
2+ Attack
You get +1 Attack for each https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero in the HQ.
Cost: 5
<font size='1'><i>Kitty goes through a lot of toasters.</i></font>

<b>Untouchable</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
5 Recruit
When any player defeats a Villain or Mastermind with a ""Fight"" effect, you may discard this card to cancel that fight effect. If you do, draw three cards.
Cost: 7
"	Secret Wars Volume 1	SW1	Apocalyptic Kitty Pryde (SW1)
Black Bolt	"<font size='5'>Black Bolt</font>
<font size='3'><i>Illuminati</i></font>

<b>Destructive Whisper</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
2+ Attack
You get +1 Attack if you reveal four cards with no rules text.
Cost: 3
<font size='1'><i>Black Bolt's voice is so destructive that even a whisper can destroy an entire city.</i></font>

<b>Speak No Words</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png
2 Recruit
1 Attack
Cost: 4

<b>Silence is Golden</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
0+ Recruit
4+ Attack
Choose a card you played this turn with no rules text. You get its Recruit and Attack again.
Cost: 6

<b>Hypersonic Scream</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
3 Attack
For each card with no rules text you played this turn, draw a card.
Cost: 8
"	Secret Wars Volume 1	SW1	Black Bolt (SW1)
Black Panther	"<font size='5'>Black Panther</font>
<font size='3'><i>Illuminati</i></font>

<b>Catlike Reflexes</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png
1 Recruit
Draw a card.
Cost: 3
<font size='1'><i>King T'Challa is a doctor of physics, a master diplomat, and a genius inventor. But sometimes he just likes kicking bad guys in the face.</i></font>

<b>Multifaceted Genius</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png
2+ Attack
You get +1 Attack for each other multicolored card you played this turn.
Cost: 4
<font size='1'><i>Some people excel at one specific thing. Black Panther excels at almost everything.</i></font>

<b>Stalk the Urban Jungle</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png
4 Attack
Whenever you defeat a Villain on the Rooftops or Streets this turn, you may KO one of your cards or a card from your discard pile.
Cost: 6
<font size='1'><i>Art contains a gun</i></font>

<b>King of Wakanda</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png
Gain three sidekicks.
Illuminati: Put them on top of your deck.
Cost: 7
"	Secret Wars Volume 1	SW1	Black Panther (SW1)
