Abomination	Villain gets extra printed Power from hero below it in the HQ.
Symbiote Bond	Two villains bond into one with all text and stats of both combined. When fought, defeat only one of the two and only do that one's fight effect.
Striker	Get 1 extra Power for each Master Strike in the KO pile or placed face-up in any zone.
Teleport	Instead of playing, you may set this card aside and add it to your next hand.
Throne's Favor	There is one Throne's Favor token in the game. If you gain it, take it from whoever has it. If you spend it, put it somewhere neutral.
Thrown Artifact	This card remains in play. During your turn, you may put it on the bottom of your deck to use its Throw effect.
Trap	This is not a Villain and it does not enter the City. Gain it in your Victory Pile if you fulfill the condition. KO it otherwise.
Undercover	Put the listed card into your Victory Pile. It's worth 1 Victory Point.
Uru-Enchanted Weapon	Fight: Reveal 1 card or the listed number of cards from the villain deck, then put them on the bottom. This card gets extra Power equal to the total Victory Points from the revealed cards. You lose all your Power if you can't beat a strengthened villain this way.
Versatile	When you play this card, choose whether it provides the listed number of Power or Recruit.
Villainous Weapon	These are not Villains. Instead, they are captured by the Villain closest to the Villain deck or KO'd if the city is empty. The Villain gets the extra Power from the Weapon. When a Villain escapes with a Weapon, the Mastermind captures that Weapon. When fighting a card with a Weapon, gain the Weapon as an artifact.
Waking Nightmare	Discard a non-grey Hero Card. If you do, draw a card.
Wall-Crawl	When buying this card, put it on top of your deck instead of your discard pile.
Worthy	Reveal a Hero that costs 5 or more.
Wounded Fury	Gets +1 Power for each wound in your discard pile.
X-Gene	Reveal a card with the listed trait in your discard pile.
X-Treme Attack	Gets +1 Power for each other Villain with this ability.
