Name	MM	Epic	T	Set	LeadsV	LeadsH	VP	BP	B	R	G	Y	S	Team	TeamSC	Wnd	KOH	KBS	CRWD	BS	PL	Effect/Master Strike	OtherEffects	NOTE	file	loc	id	keywords	seq
Authoritarian Iron Man				CW	Superhuman Registration Act		6	12														He fortifies the next city space and can't be attacked if villain is there.	Villain in his space gets +3.		civilwar,jpg	3 3	Authoritarian Iron Man	Fortify	17
Armada of armors	Authoritarian Iron Man			CW			6		1				1									Get 6 * only for B or S heroes.			civilwar,jpg	3 4	Authoritarian Iron Man	""	18
Freeze domestic assets	Authoritarian Iron Man			CW			6															Other players discard all * cards.			civilwar,jpg	4 4	Authoritarian Iron Man	""	19
Recall to service	Authoritarian Iron Man			CW			6												1			Escaped villain with highest \\\ enters city in his space.			civilwar,jpg	2 4	Authoritarian Iron Man	Fortify	20
Man the fortifications	Authoritarian Iron Man			CW			6												1			Reveal top card of villain deck. If villain, enters his space.			civilwar,jpg	1 4	Authoritarian Iron Man	Fortify	21
Baron Heinrich Zemo				C75	Masters of Evil (WWII)		6	9								1		1		1		Each player KO's BS from VP. If not, gets a wound.			c75,jpg	10 3	Baron Heinrich Zemo	Savior	22
Hatred for the Avengers	Baron Heinrich Zemo			C75										Avengers	2					1		For each avengers hero, rescue BS.			c75,jpg	3 4	Baron Heinrich Zemo	""	23
Prisoners of War	Baron Heinrich Zemo			C75										Avengers	1					1		Unless avenger hero, rescue BS from other player's VP.			c75,jpg	4 4	Baron Heinrich Zemo	""	24
Finding Zemo	Baron Heinrich Zemo			C75												1		1				Top 5 of villain deck, KO BS and if so, other players get wound			c75,jpg	2 4	Baron Heinrich Zemo	""	25
Fallen Idols	Baron Heinrich Zemo			C75																		Not saviors discard a card.			c75,jpg	1 4	Baron Heinrich Zemo	Savior	26
Baron Helmut Zemo				CW	Thunderbolts		6	16					1			1						Each player KO's villain from VP. If not, gets a wound.	Gets minus for villains in your VP		civilwar,jpg	4 3	Baron Helmut Zemo	""	27
Cursed Dynasty	Baron Helmut Zemo			CW																		Draw 2 extra next turn			civilwar,jpg	10 3	Baron Helmut Zemo	""	28
Blasted Henchmen!	Baron Helmut Zemo			CW									1									Other players reveal S or KO villain from vp			civilwar,jpg	9 3	Baron Helmut Zemo	""	29
Endless Minions	Baron Helmut Zemo			CW									1						1			Other players reveal S or put villain from vp in city.			civilwar,jpg	7 3	Baron Helmut Zemo	""	30
Revenger for my father	Baron Helmut Zemo			CW										Avengers	1	1						Other players with avenger hero get wound			civilwar,jpg	8 3	Baron Helmut Zemo	""	31
Carnage				PTT	Maximum Carnage		6	9								1	2					Feast on every player; wound if hero cost 0			pttr,jpg	3 2	Carnage	Feast	32
Endless hunger	Carnage			PTT													2					Feast. If 0 cost hero, continue feasting.			pttr,jpg	10 1	Carnage	Feast	33
Feed me	Carnage			PTT													1					Feast, get MO equal to cost.			pttr,jpg	1 2	Carnage	Feast	34
Drooling Jaws	Carnage			PTT													1					Each player reveals top. You choose where to feast.			pttr,jpg	9 1	Carnage	Feast	35
Om nom nom	Carnage			PTT													1	1				Feast, if a 0 cost hero, other players KO BS from VP.			pttr,jpg	2 2	Carnage	Feast	36
Charles Xavier, Professor of Crime				N	X-Men Noir		6	8												1		Four heroes capture hidden witnesses	Get plus for BS in HQ and city		noir,jpg	8 4	Charles Xavier, Professor of Crime	Hidden Witness	37
Corrupt weak minds	Charles Xavier, Professor of Crime			N																		Other players put BS from vp as hidden witness on hero in hq			noir,jpg	7 4	Charles Xavier, Professor of Crime	Hidden Witness	38
Master manipulator	Charles Xavier, Professor of Crime			N										X-Men	2							Investigate hero deck for x-men			noir,jpg	5 4	Charles Xavier, Professor of Crime	Investigate	39
X-con men	Charles Xavier, Professor of Crime			N										X-Men	1	1						Other players reveal x-men or gain wound			noir,jpg	6 4	Charles Xavier, Professor of Crime	""	40
Commit to the asylum	Charles Xavier, Professor of Crime			N													1					Other players investigate for FI hero and KO it			noir,jpg	4 4	Charles Xavier, Professor of Crime	Investigate	41
Dark Phoenix				XM	Hellfire Club		7	13									2					KO top card of hero deck and all heroes from it with same classes.	Wins when hero deck runs out		mm,jpg	1 1	Dark Phoenix	""	42
Dark Phoenix		1		XM	Hellfire Club		7	15									2					KO top card of hero deck and all heroes from it with same classes. Return Hellfire Club villain. Play horror	Wins when hero deck runs out		ephoenix,png	1	Dark Phoenix	""	43
Fiery Reincarnation	Dark Phoenix			XM																		Gain hero from KO pile costing 7 or more			xmen2,jpg	7 1	Dark Phoenix	""	44
Worship me as a god	Dark Phoenix			XM																		Other players gain two zero cost heroes from KO pile.			xmen2,jpg	6 1	Dark Phoenix	""	45
Burn the world to ashes	Dark Phoenix			XM																		Other players discards cards from their hand with same name as KO'd cards.			xmen2,jpg	9 1	Dark Phoenix	""	46
Consume an entire galaxy	Dark Phoenix			XM													2					Other players KO card that costs 1 or more from their discard pile.			xmen2,jpg	8 1	Dark Phoenix	""	47
Deathbird				XM	Shi'ar Imperial Guard		6	8								1			2			If Shi'Ar in city, wounds for everyone. Then put a 7 Shi'Ar token in city.	Gets +1 for Shi'Ar in city and escape pile	Also add Shi'Ar henchmen group	mm,jpg	3 1	Deathbird	""	48
Deathbird		1		XM			6	10											2			If Shi'Ar in city, horror. Then put a 9 Shi'Ar token in city.	Gets +2 for Shi'Ar in city and escape pile	Also add Shi'Ar henchmen group	edp,png	1	Deathbird	""	49
Shi'Ar Elite Bodyguards	Deathbird			XM															1		1	Rescue 4 BS. Tactic enters city, shuffles back upon escape.			xmen2,jpg	5 3	Deathbird	""	50
Shi'Ar Extermination Legion	Deathbird			XM															1			Rescue 4 BS. Tactic enters city, discard upon escape.			xmen2,jpg	3 3	Deathbird	""	51
Shi'Ar Hovertank Battalion	Deathbird			XM												1			1			Rescue 4 BS. Tactic enters city, wounds upon escape.			xmen2,jpg	4 3	Deathbird	""	52
Shi'Ar Master Spies	Deathbird			XM															1			Rescue 4 BS. Tactic enters city, twist upon escape.			xmen2,jpg	2 3	Deathbird	""	53
Dr. Doom				B		Doombot Legion	5	9					1									If no Silver hero, put 2 card on top of deck (if 6 cards in hand)			base,jpg	7 7	Dr. Doom	""	54
Secrets of time travel	Dr. Doom			B																		Take extra turn			base2,jpg	1 1	Dr. Doom	""	55
Monarch's decree	Dr. Doom			B																		Other players draw or discard.			base2,jpg	2 1	Dr. Doom	""	56
Treasures of Latveria	Dr. Doom			B																		Next hand draw three extra			base,jpg	8 7	Dr. Doom	""	57
Dark Technology	Dr. Doom			B					1				1									Recruit B or S hero for free			base,jpg	9 7	Dr. Doom	""	58
Evil Deadpool				DP	Evil Deadpool Corpse		6	11								2						Each player discards; the one with cheapest hero gets wound	Gets plus for tactics you already gained		dp,jpg	6 3	Evil Deadpool	Revenge	59
Evil even oddball	Evil Deadpool			DP												1						Other players with fewest odd costed cards gets wound			dp,jpg	9 3	Evil Deadpool	""	60
Hyper-insane healing factor	Evil Deadpool			DP																	1	If not final tactic, gain 6 MO and shuffle back.			dp,jpg	7 3	Evil Deadpool	""	61
Stitched from dead (pool) parts	Evil Deadpool			DP												1						Other players discard top of deck. Lowest costs get wound.			dp,jpg	8 3	Evil Deadpool	""	62
Of course it's corpse	Evil Deadpool			DP												1						Other player with fewest team villains gains wound.			dp,jpg	10 3	Evil Deadpool	""	63
Galactus				FF	Heralds of Galactus		7	20									1		2			Destroy a city space	Gets minus for every hero of same class	Wins when city is gone	pttr,jpg	10 6	Galactus	Cosmic Threat	64
Force of Eternity	Galactus			FF																		New hand, draw six and discard six.			pttr,jpg	1 7	Galactus	""	65
Panicked Mobs	Galactus			FF																1		Choose class. Players rescue BS for each hero they have of that class.			pttr,jpg	2 7	Galactus	""	66
Cosmic Entity	Galactus			FF																		Choose class. Players draw cards for each hero they have of that class.			pttr,jpg	9 6	Galactus	""	67
Sunder the Earth	Galactus			FF													1					Other players KO heroes from hand with same name as hero in hq			pttr,jpg	8 6	Galactus	""	68
Immortal Emperor Zheng-Zhu				SW2	K'un-lun		5	7														Discard an ultimate hero or discard down to 3 cards.	7th circle of Kung Fu		sw22,jpg	7 7	Immortal Emperor Zheng-Zhu	Circle of Kung Fu	69
Imperial Edict	Immortal Emperor Zheng-Zhu			SW2																		Put any number of heroes on bottom hero deck.			sw2,jpg	9 2	Immortal Emperor Zheng-Zhu	""	70
Emperor's Justice	Immortal Emperor Zheng-Zhu			SW2										Marvel Knights	1	1						Other players reveal MK or wound			sw2,jpg	7 2	Immortal Emperor Zheng-Zhu	""	71
Humble the Pretenders	Immortal Emperor Zheng-Zhu			SW2										Marvel Knights	1							Other players reveal MK or discard a card costing less than 7.			sw2,jpg	8 2	Immortal Emperor Zheng-Zhu	""	72
Ultimate Kung-Fu Mastery	Immortal Emperor Zheng-Zhu			SW2												1						Other players reveal circle of kung fu card from VP or wound			sw2,jpg	6 2	Immortal Emperor Zheng-Zhu	""	73
King Hyperion				SW2	Utopolis		6	12								1			2			Goes into the city and charges 3 spaces. Wounds if he escapes.			sw22,jpg	8 7	King Hyperion	Charge	74
Monarch of Utopolis	King Hyperion			SW2																	1	If in city, remove him, shuffle back tactic and draw three extra cards next turn.			sw2,jpg	10 2	King Hyperion	""	75
Rule with an iron fist	King Hyperion			SW2																	1	If in city, remove him, shuffle back tactic and defeat villain for free.			sw2,jpg	2 3	King Hyperion	""	76
Worshipped by millions	King Hyperion			SW2																	1	If in city, remove him, shuffle back tactic and rescue six bystanders.			sw2,jpg	3 3	King Hyperion	""	77
Royal treasury	King Hyperion			SW2																	1	If in city, remove him, shuffle back tactic and get 5 MO.			sw2,jpg	1 3	King Hyperion	""	78
Kingpin				DC	Streets of New York		6	13						Marvel Knights	1							Reveal MK or discard hand, then draw 5.	Bribe		darkcity,jpg	5 2	Kingpin	Bribe	79
Dirty Cops	Kingpin			DC																		Put zero cost hero from KO on other player's deck.			darkcity,jpg	4 2	Kingpin	""	80
Criminal Empire	Kingpin			DC															2			If not final tactic, play all villains in top 3 of villain deck. Put rest back.			darkcity,jpg	3 2	Kingpin	""	81
Call a hit	Kingpin			DC													1					KO a hero from each player's discard pile.			darkcity,jpg	2 2	Kingpin	""	82
Mob war	Kingpin			DC															2			Other players play a henchmen from VP.			darkcity,jpg	1 2	Kingpin	""	83
Loki				B	Enemies of Asgard		5	10			1					1						Reveal green hero or get wound			base2,jpg	4 1	Loki	""	84
Vanishing Illusions	Loki			B																		Other players KO villain from VP.			base2,jpg	7 1	Loki	""	85
Whispers and Lies	Loki			B														1				Other players KO 2 BS from VP.			base2,jpg	3 1	Loki	""	86
Maniacal Tyrant	Loki			B																		KO up to 4 cards from your discard.			base2,jpg	6 1	Loki	""	87
Cruel Ruler	Loki			B																		Defeat villain for free.			base2,jpg	5 1	Loki	""	88
Macho Gomez				DP	"Deadpool's ""Friends"""		6	9								2						Strike becomes bounty. Get wounds for each bounty. Pay 1 MO to move to left	Gets plus for # of his villains in your vp		dp,jpg	1 3	Macho Gomez	Revenge	89
Bounty Payout	Macho Gomez			DP																		Get MO for each bounty on other players.			dp,jpg	2 3	Macho Gomez	""	90
Renegotiate the contract	Macho Gomez			DP																		Redistribute bounties.			dp,jpg	4 3	Macho Gomez	""	91
Interstellar Assassin	Macho Gomez			DP																		Other players with a bounty discard down to 4.			dp,jpg	3 3	Macho Gomez	""	92
Super Macho Man	Macho Gomez			DP																		Rescue BS for each bounty on other players.			dp,jpg	5 3	Macho Gomez	""	93
Madelyne Pryor, Goblin Queen				SW1	Limbo		6	10								1				1		If she has bystanders, wounds. Then she captures 4.	Her BS fought as 2 villains. Can't be attacked if any BS.		sw12,jpg	7 7	Madelyne Pryor, Goblin Queen	""	94
Everyon's a demon on the inside	Madelyne Pryor, Goblin Queen			SW1																1		She captures a BS from other player's VP.			sw1,jpg	1 1	Madelyne Pryor, Goblin Queen	""	95
City of demon goblins	Madelyne Pryor, Goblin Queen			SW1																1		She captures 5 BS.			ambition,jpg	9 1	Madelyne Pryor, Goblin Queen	""	96
Gather the harvest	Madelyne Pryor, Goblin Queen			SW1																1		She captures a BS for her team in city/escape.			sw12,jpg	8 7	Madelyne Pryor, Goblin Queen	""	97
Corrupted clone of Jean Grey	Madelyne Pryor, Goblin Queen			SW1										X-Men	1	1						Other players reveal x-men or gain wound			sw12,jpg	9 7	Madelyne Pryor, Goblin Queen	""	98
Magneto				B	Brotherhood		5	8						X-Men	2							Reveal X-men or discard down to 4 cards.			base2,jpg	2 2	Magneto	""	99
Crushing shockwave	Magneto			B										X-Men	2	2						Other player's reveal X-men or gain 2 wounds.			base2,jpg	9 1	Magneto	""	100
Electromagnetic bubble	Magneto			B										X-Men	1							Add one of your X-men to your next hand.			base2,jpg	1 2	Magneto	""	101
Xavier's nemesis	Magneto			B										X-Men	2							Rescue BS for each of your X-men.			base2,jpg	10 1	Magneto	""	102
Bitter captor	Magneto			B										X-Men	1							Recruit an X-men hero.			base2,jpg	8 1	Magneto	""	103
Maria Hill, Director of S.H.I.E.L.D.				CW	S.H.I.E.L.D. Elite		6	7											2			Add 2 shield officers to city as 3 villains	2x shield clearance; need to clear shield officers first		civilwar,jpg	10 2	Maria Hill, Director of S.H.I.E.L.D.	SHIELD Clearance	104
Declare martial law	Maria Hill, Director of S.H.I.E.L.D.			CW															2			Put officer in empty city spaces.			civilwar,jpg	6 5	Maria Hill, Director of S.H.I.E.L.D.	""	105
Crash the helicarrier	Maria Hill, Director of S.H.I.E.L.D.			CW																		KO any number of SHIELD heroes.			civilwar,jpg	5 5	Maria Hill, Director of S.H.I.E.L.D.	""	106
Rapid response team	Maria Hill, Director of S.H.I.E.L.D.			CW															2			2 officers enter citY.			civilwar,jpg	4 5	Maria Hill, Director of S.H.I.E.L.D.	""	107
Evacuation Code Epsilon	Maria Hill, Director of S.H.I.E.L.D.			CW																		Other players discard SHIELD hero.			civilwar,jpg	3 5	Maria Hill, Director of S.H.I.E.L.D.	""	108
Mephisto				DC	Underworld		6	10						Marvel Knights	1	2						Reveal MK or wound.		Wounds go to top of your deck	darkcity,jpg	8 2	Mephisto	""	109
Damned if you do	Mephisto			DC												1		1				Other player's KO BS from VP or wound.			darkcity,jpg	7 2	Mephisto	""	110
The price of failure	Mephisto			DC												1						Other players without tactic get wound.			darkcity,jpg	10 2	Mephisto	""	111
Devilish torment	Mephisto			DC																		Other players put zero cost heroes from discard on top of their deck			darkcity,jpg	9 2	Mephisto	""	112
Pain begets pain	Mephisto			DC																		Give any number of wounds in your hand to other player.			darkcity,jpg	6 2	Mephisto	""	113
Misty Knight				CW	Heroes for Hire		6	14								1						Reveal 4 MO cards or get wound	Bribe		civilwar,jpg	1 3	Misty Knight	Bribe	114
Cyborg detective	Misty Knight			CW																		Reveal top 3 cards of villain deck and put back in any order.			civilwar,jpg	2 5	Misty Knight	""	115
Vibranium cyber arm	Misty Knight			CW										Marvel Knights	1	1						Other players reveal MK or wound.			civilwar,jpg	10 4	Misty Knight	""	116
Bionic repulsor field	Misty Knight			CW										Marvel Knights	1							Other players reveal MK or put two cards from hand on top deck.			civilwar,jpg	1 5	Misty Knight	""	117
Trusted bodyguard	Misty Knight			CW																1		Player with Colleen wing in VP rescues 5 BS, then Wing fortifies this.			civilwar,jpg	9 4	Misty Knight	Fortify	118
Mojo				XM	Mojoverse		5	6					1							1		Add Human Shield. Reveal silver hero or discard at random.	Starts with 3 human shields.	Bystanders are worth 3 VP.	mm,jpg	6 1	Mojo	Human Shield	119
Mojo		1		XM	Mojoverse		5	7					1							1		Add Human Shield, also to Mojo villains. Reveal silver hero or discard down to 4.	Starts with 6 human shields.	Bystanders are worth 4 VP.	emojo,png	1	Mojo	""	120
Mojo branding opportunity	Mojo			XM																1		Add Human Shield. Draw card for each Mojoverse villain in your VP.			xmen2,jpg	4 2	Mojo	Human Shield	121
Billions of tv viewers	Mojo			XM									1							1		Other players reveal S hero or give BS to Mojo.			xmen2,jpg	7 2	Mojo	Human Shield	122
Brain-melting tv marathon	Mojo			XM												1						Other players without tactic get wound.			xmen2,jpg	6 2	Mojo	""	123
Cross-dimensional marketing	Mojo			XM																1		Add Human Shield. Get MO for each BS in your VP.			xmen2,jpg	5 2	Mojo	Human Shield	124
Mole Man				FF	Subterranea		6	7								1			1			All of his villains escape. If so, wounds.	Gets plus for his escaped villains.		pttr,jpg	4 6	Mole Man	""	125
Dig to freedom	Mole Man			FF																		Other players put Subterranea villain from VP in escape pile			pttr,jpg	6 6	Mole Man	""	126
Underground riches	Mole Man			FF																		Get 6 MO only for heroes under the streets.			pttr,jpg	7 6	Mole Man	""	127
Master of monsters	Mole Man			FF															2			If not final tactic, play all Subterranea villains from top 6 of villain deck. Rest on bottom			pttr,jpg	5 6	Mole Man	""	128
Secret tunnel	Mole Man			FF																		Get 6 FI only for villain on the streets.			pttr,jpg	3 6	Mole Man	""	129
Mr. Sinister				DC	Marauders		6	8		1										1		Add BS. Reveal red or discard cards equal to # of BS he has.	Gets plus for his bystanders.		darkcity,jpg	2 3	Mr. Sinister	""	130
Telepathic manipulation	Mr. Sinister			DC																		Add BS from other player's VP.			darkcity,jpg	1 3	Mr. Sinister	""	131
Plans within plans	Mr. Sinister			DC																		Add BS for each tactic in VP's (including this one).			darkcity,jpg	4 3	Mr. Sinister	""	132
Master geneticist	Mr. Sinister			DC																		Add BS from top 7 of villain deck. Rest back at random.			darkcity,jpg	3 3	Mr. Sinister	""	133
Human experimentation	Mr. Sinister			DC																		Add BS for each villain in city.			darkcity,jpg	5 3	Mr. Sinister	""	134
Mysterio				PTT	Sinister Six		6	8														This MS becomes a tactic.			pttr,jpg	5 2	Mysterio	""	135
Blurring images	Mysterio			PTT																		Get MO for each tactic left.			pttr,jpg	6 2	Mysterio	""	136
Mists of deception	Mysterio			PTT																		If not final tactic, play all master strikes in top five of villain deck. Bottom the rest.			pttr,jpg	8 2	Mysterio	""	137
Master of illusions	Mysterio			PTT																	1	If not final tactic, shuffle a master strike from each other player's VP.			pttr,jpg	4 2	Mysterio	""	138
Captive audience	Mysterio			PTT																		Rescue BS for each tactic left.			pttr,jpg	7 2	Mysterio	""	139
Nimrod, Super Sentinel				SW1	Sentinel Territories		6	6					1									Reveal silver hero or discard all your MO or FI heroes (your choice).	Need 6 MO to fight him		sw1,jpg	2 1	Nimrod, Super Sentinel	""	140
Scatter the mutants	Nimrod, Super Sentinel			SW1																		Put all heroes with either MO or FI signs from hq on bottom of hero deck.			sw1,jpg	6 1	Nimrod, Super Sentinel	""	141
Adapt and destroy	Nimrod, Super Sentinel			SW1																		Other players discard a MO or FI hero (your choice).			sw1,jpg	5 1	Nimrod, Super Sentinel	""	142
Detect mutation	Nimrod, Super Sentinel			SW1																		Choose MO or FI. If top card of your deck has that, draw it, then repeat.			sw1,jpg	4 1	Nimrod, Super Sentinel	""	143
Teleport and incarcerate	Nimrod, Super Sentinel			SW1																		Choose MO or FI. If top card of hero deck has that, teleport it.			sw1,jpg	3 1	Nimrod, Super Sentinel	Teleport	144
Onslaught				XM	Dark Descendants		7	10									2					KO all his heroes, then dominate a nongrey from each player's hand.		Hand size is -1!	mm,jpg	2 1	Onslaught	Dominate	145
Onslaught		1		XM	Dark Descendants		7	12									2					KO all his heroes, then dominate two nongrey from each player's hand. Play horror.		Hand size is -1!	eons,png	1	Onslaught	""	146
Xavier and Magneto combined	Onslaught			XM										X-men|Brotherhood	1|1		1					Dominate all X-men and Brotherhood heroes from top 3 of hero deck. Put others back.			xmen2,jpg	8 2	Onslaught	Dominate	147
Worldwide mental control	Onslaught			XM																		Dominate 4 zero cost heroes from KO pile. KO them when fought.			xmen2,jpg	9 2	Onslaught	Dominate	148
Godlike psionic entity	Onslaught			XM													2					Dominate all heroes from the HQ.			xmen2,jpg	1 3	Onslaught	Dominate	149
Sins of X-men past	Onslaught			XM										X-men	1		1					Dominate an X-men from top 6 of other players deck.			xmen2,jpg	10 2	Onslaught	Dominate	150
Ragnarok				CW	Registration Enforcers		6	6														Discard all zero or nonzero heroes	Gets plus for each color in the HQ.		civilwar,jpg	2 3	Ragnarok	""	151
Hammer Goliath	Ragnarok			CW													1					KO all heroes costing 7 or more from HQ			civilwar,jpg	5 4	Ragnarok	""	152
God of Cyborg Thunder	Ragnarok			CW																		Can spend MO as FI this turn			civilwar,jpg	8 4	Ragnarok	""	153
Unnatural Storm Clouds	Ragnarok			CW																		Tuck all heroes from the HQ			civilwar,jpg	6 4	Ragnarok	""	154
Electrical Charge	Ragnarok			CW					2													Draw a card for each of your B heroes			civilwar,jpg	7 4	Ragnarok	""	155
Red Skull				B	HYDRA		5	7									1					Each player KO's a hero			base2,jpg	10 2	Red Skull	""	156
Endless resources	Red Skull			B																		Get 4 MO			base2,jpg	1 3	Red Skull	""	157
Hydra conspiracy	Red Skull			B																		Draw two cards, and draw more for each HYDRA villain in your vp			base2,jpg	8 2	Red Skull	""	158
Negablast grenades	Red Skull			B																		Get 3 FI			base2,jpg	7 2	Red Skull	""	159
Ruthless dictator	Red Skull			B																		Look at top 3 of your deck. KO one, discard one, put one back.			base2,jpg	9 2	Red Skull	""	160
Shadow King				XM	Shadow-X		6	7									2					KO all his heroes, then dominate a nongrey from each player's discard pile.			mm,jpg	5 1	Shadow King	Dominate	161
Shadow King		1		XM	Shadow-X		6	9									2					KO all his heroes, then dominate two nongrey from each player's discard pile.	Play two horrors at beginning of game		esh,png	1	Shadow King	""	162
Poison their minds	Shadow King			XM													1					Other players have one nongrey hero from hand dominated.			xmen2,jpg	6 3	Shadow King	Dominate	163
Psychic Seduction	Shadow King			XM													2					Dominate all heroes costing 5 or more from HQ			xmen2,jpg	9 3	Shadow King	Dominate	164
Telepathic betrayal	Shadow King			XM																		Put Betrayal of the Shadow trap from any VP or KO on top of villain deck			xmen2,jpg	7 3	Shadow King	""	165
Fiend of the astral plane	Shadow King			XM																		Other players shuffle two MO heroes from hand back into deck			xmen2,jpg	8 3	Shadow King	""	166
Shiklah, the Demon Bride				SW2	Monster Metropolis		6	9														Put all twists among top 3 of villain deck on top, rest on bottom.			sw22,jpg	9 7	Shiklah, the Demon Bride	""	167
Enslavement beam	Shiklah, the Demon Bride			SW2																		Fateful Resurrection: if so, rescue 4 BS.			sw2,jpg	6 3	Shiklah, the Demon Bride	Fateful Resurrection	168
Infernal power	Shiklah, the Demon Bride			SW2																		Fateful Resurrection: if so, draw two cards.			sw2,jpg	4 3	Shiklah, the Demon Bride	Fateful Resurrection	169
Shiklah's Husband, Deadpool	Shiklah, the Demon Bride			SW2																		Gain as hero; 5 FI, red, gets +1 for each hero with odd cost you played			sw2,jpg	5 3	Shiklah, the Demon Bride	""	170
Drain life	Shiklah, the Demon Bride			SW2																		Fateful Resurrection: if so, defeat a villain for free.			sw2,jpg	7 3	Shiklah, the Demon Bride	Fateful Resurrection	171
Spider-Queen				SW2		Spider-Infected	6	8								1				2		Put Spider-Infected back in city or wound.	Gets plus for escaped bystanders.		sw2,jpg	5 2	Spider-Queen	""	172
Web the skyscrapers	Spider-Queen			SW2										Spider Friends	1					2		Other players reveal spider friends hero or put BS from VP into escape			sw2,jpg	1 4	Spider-Queen	""	173
Control arachnid genes	Spider-Queen			SW2										Spider Friends	1							Gain a spider friends hero			sw2,jpg	8 3	Spider-Queen	""	174
Sonic scream	Spider-Queen			SW2																2		Put all BS from top 8 of villain deck into escape, rest on bottom.			sw2,jpg	10 3	Spider-Queen	""	175
Infect the entire city	Spider-Queen			SW2																2		Put BS in escape, then put one on each spider-infected.			sw2,jpg	9 3	Spider-Queen	""	176
Stryfe				DC	MLF		6	7						X-Force	1							Reveal X-force or discard at random.	Gets plus for MS played.		darkcity,jpg	7 3	Stryfe	""	177
Swift vengeance	Stryfe			DC																		A wound becomes a master strike.			darkcity,jpg	10 3	Stryfe	""	178
Tide of retribution	Stryfe			DC										X-Force	1	1						Other players reveal X-force or gian wound.			darkcity,jpg	6 3	Stryfe	""	179
Furious wrath	Stryfe			DC																		Play all master strike from top 6 villain deck, rest back.			darkcity,jpg	8 3	Stryfe	""	180
Psychic torment	Stryfe			DC																		Look at top five of your deck. Draw one, rest discard.			darkcity,jpg	9 3	Stryfe	""	181
Supreme Intelligence of the Kree				GG	Kree Starforce		6	9														Add shard, then discard equal to and cost of plus 1 number of shards.	Shards		gotg,jpg	10 5	Supreme Intelligence of the Kree	Shard	182
Countermeasure protocols	Supreme Intelligence of the Kree			GG																		Add shard for each tactic in vp's (including this one).			gotg,jpg	2 6	Supreme Intelligence of the Kree	Shard	183
Combined knowledge of all Kree	Supreme Intelligence of the Kree			GG																		Add shard for every Kree in city or escape.			gotg,jpg	9 5	Supreme Intelligence of the Kree	Shard	184
Guide Kree Evolution	Supreme Intelligence of the Kree			GG																		Add shard, also to all Kree			gotg,jpg	6 1	Supreme Intelligence of the Kree	Shard	185
Cosmic Omniscience	Supreme Intelligence of the Kree			GG																		Add shard for each strike played			gotg,jpg	5 1	Supreme Intelligence of the Kree	Shard	186
Thanos				GG	Infinity Gems		7	24														Put nongrey hero from hand next to Thanos.	Gets minus for infinity gems in play.		gotg,jpg	5 5	Thanos	""	187
The Mad Titan	Thanos			GG																		Other players discard all heroes with same name as hero next to Thanos			gotg,jpg	10 1	Thanos	""	188
