Team	Hero	Name	Set	Split	Name_S	T0	C	Ct	B	R	G	Y	S	Br	Rr	Gr	Yr	Sr	SP	MO	FI	Drw	Dsc	Top	Bs	Wd	Cty	NR	C2	C4	CD	SK	LS	LT	TE	Pierc	HM	KO	KBS	AF	Vil	MF	VS	DC	SRD	FHQ	SHL	XTR	file	loc	id	uni	keywords	seq
X-Men	Jubilee	Prismatic cascade	XM				7	1		1										1	1												2																xmen3,jpg	2 7	Jubilee (XM)	Jubilee (XM)	Lightshow	134
X-Men	Kitty Pryde	Intangible qualities	XM				3	5				1								1	1																					1						Filter HQ	xmen3,jpg	10 5	Kitty Pryde (XM)	Kitty Pryde (XM)	""	135
X-Men	Kitty Pryde	Going through a phase	XM				4	5		1										1	1	1													1														xmen3,jpg	5 6	Kitty Pryde (XM)	Kitty Pryde (XM)	X-Gene	136
X-Men	Kitty Pryde	Ghost in the machine	XM				6	3					1								1										2																		xmen3,jpg	3 6	Kitty Pryde (XM)	Kitty Pryde (XM)	""	137
X-Men	Kitty Pryde	Lockheed	XM				8	1	1												1																											Big hero in HQ	xmen3,jpg	2 6	Kitty Pryde (XM)	Kitty Pryde (XM)	Soaring Flight	138
X-Men	Legion	Split personality	XM	3			3	5					1								1							1																					xmen3,jpg	8 7	Legion (XM)	Legion (XM)	Piercing Energy	139
X-Men	Legion	Split eardrums	XM	3			3	5	1																											1													xmen3,jpg	8 7	Legion (XM)	Legion (XM)	""	140
X-Men	Legion	Bend steel	XM	4			2	5			1										1			-1																									xmen3,jpg	9 7	Legion (XM)	Legion (XM)	Berserk|Lightshow	141
X-Men	Legion	Bend light	XM	4			2	5		1										1													1																xmen3,jpg	9 7	Legion (XM)	Legion (XM)	""	142
X-Men	Legion	Channel time	XM	5			5	3				1										1																											xmen3,jpg	6 7	Legion (XM)	Legion (XM)	""	143
X-Men	Legion	Channel fire	XM	5			5	3					1						2		1																												xmen3,jpg	6 7	Legion (XM)	Legion (XM)	""	144
X-Men	Legion	Maelstrom of clash	XM				8	1		1											1																											Soaring Flight	xmen3,jpg	7 7	Legion (XM)	Legion (XM)	Soaring Flight	145
X-Men	Longshot	Fortune favors bold	XM				3	5				1									1			1																									xmen3,jpg	7 5	Longshot (XM)	Longshot (XM)	""	146
X-Men	Longshot	Flurry of blades	XM				4	5					1					1			1			-1																									xmen3,jpg	2 5	Longshot (XM)	Longshot (XM)	Berserk	147
X-Men	Longshot	Make my own luck	XM				6	3		1					1						1			1														1											xmen3,jpg	4 5	Longshot (XM)	Longshot (XM)	""	148
X-Men	Longshot	Escape from Mojo	XM				7	1					1								1														1						1							Filter villain deck	xmen3,jpg	5 5	Longshot (XM)	Longshot (XM)	""	149
X-Men	Magik	Rally the new mutants	SW1				2	5		1					1																	1																	sw12,jpg	3 4	Magik (SW1)	Magik (SW1)	""	150
X-Men	Magik	Travel through limbo	SW1				3	5	1					1							1																											Teleport	sw12,jpg	5 4	Magik (SW1)	Magik (SW1)	Teleport	151
X-Men	Magik	Dimensional portal	SW1				5	3	1	1											1											-1																Teleport	sw12,jpg	4 4	Magik (SW1)	Magik (SW1)	Teleport	152
X-Men	Magik	Wield the soulsword	SW1				7	1		1											1																											Teleport	sw12,jpg	6 4	Magik (SW1)	Magik (SW1)	Teleport	153
X-Men	Nightcrawler	Bamf!	DC				3	5				1								1																												Teleport	darkcity,jpg	3 4	Nightcrawler (DC)	Nightcrawler (DC)	Teleport	154
X-Men	Nightcrawler	Blend into shadows	DC				4	5		1											1																											Teleport	darkcity,jpg	2 4	Nightcrawler (DC)	Nightcrawler (DC)	Teleport	155
X-Men	Nightcrawler	Swashbuckler	DC				5	3				1			1		1				1																												darkcity,jpg	4 4	Nightcrawler (DC)	Nightcrawler (DC)	""	156
X-Men	Nightcrawler	Along for the ride	DC				7	1		1											1																											Teleport	darkcity,jpg	1 4	Nightcrawler (DC)	Nightcrawler (DC)	Teleport	157
X-Men	Old Man Logan	Last survivor	SW1		Wolverine		3	5				1					1				1					-1												1											sw12,jpg	7 4	Old Man Logan (SW1)	Old Man Logan (SW1)	""	158
X-Men	Old Man Logan	Loner	SW1		Wolverine		5	5		1		1									1																											Hits more if you don't recruit	sw12,jpg	8 4	Old Man Logan (SW1)	Old Man Logan (SW1)	""	159
X-Men	Old Man Logan	Rage out	SW1		Wolverine		6	3				1					1				1					1																						Gets other players wounds	sw12,jpg	9 4	Old Man Logan (SW1)	Old Man Logan (SW1)	Cross-Dimensional Rampage	160
X-Men	Old Man Logan	No more heroes	SW1		Wolverine		7	1				1									1		-1															-1										have no shield at all	sw12,jpg	10 4	Old Man Logan (SW1)	Old Man Logan (SW1)	""	161
Spidermen	Spider-Man Noir	Webs of darkness	N				2	5	1					1							1																												noir,jpg	2 1	Spider-Man Noir (N)	Spider-Man Noir (N)	""	162
Spidermen	Spider-Man Noir	Gumshoe's Revolver	N				2	5					1								1	1		1					1																				noir,jpg	4 1	Spider-Man Noir (N)	Spider-Man Noir (N)	Investigate	163
Spidermen	Spider-Man Noir	Solve the crime	N				2	3				1					1				1				1																								noir,jpg	3 1	Spider-Man Noir (N)	Spider-Man Noir (N)	Investigate	164
Spidermen	Spider-Man Noir	Spidertotem's chosen	N				2	1			1										1			1					2						1														noir,jpg	1 1	Spider-Man Noir (N)	Spider-Man Noir (N)	Investigate	165
Spidermen	Silk	Cascading maneuver	SW2				2	5			1	1							1		1	1		1																									sw22,jpg	6 6	Silk (SW2)	Silk (SW2)	Wall-Crawl|Spectrum	166
Spidermen	Silk	Longrange spidersense	SW2				2	5	1										1		1	1							1																				sw22,jpg	5 6	Silk (SW2)	Silk (SW2)	Spectrum	167
Spidermen	Silk	Silk stalking	SW2				2	3		1											1	1							1						1			1											sw22,jpg	7 6	Silk (SW2)	Silk (SW2)	""	168
Spidermen	Silk	Borrowed cloak device	SW2				2	1					1						1		1			1					2																				sw22,jpg	8 6	Silk (SW2)	Silk (SW2)	Wall-Crawl|Spectrum	169
Spidermen	Spider-Woman	Radioactive spider	PTT				2	5			1									1				1																									pttr,jpg	10 4	Spider-Woman (PTT)	Spider-Woman (PTT)	""	170
Spidermen	Spider-Woman	Bioelectric shock	PTT				4	5	1												1			-1																									pttr,jpg	7 4	Spider-Woman (PTT)	Spider-Woman (PTT)	Wall-Crawl	171
Spidermen	Spider-Woman	Venom blast	PTT				6	3	1												1			-1																									pttr,jpg	9 4	Spider-Woman (PTT)	Spider-Woman (PTT)	Wall-Crawl	172
Spidermen	Spider-Woman	Arachno pheromones	PTT				7	1		1														1											1													Free hero	pttr,jpg	8 4	Spider-Woman (PTT)	Spider-Woman (PTT)	""	173
Spidermen	Spider-Gwen	Fateful bridge	SW2				2	5				1	1								1	1					-1		1																				sw22,jpg	9 6	Spider-Gwen (SW2)	Spider-Gwen (SW2)	Patrol	174
