Name	Set	CT	B	R	G	Y	S	Team	TeamSC	Wnd	KOH	KBS	CRWD	BS	EW	EWH	NOTE	HC	VC	CH	Hero_Inc	HM_Inc	Vill_Inc	BSCt	WndCT	solobad	xtra	otherspecial	file	loc	file2	loc2	id	keywords	seq
Infiltrate the Lair with Spies	V	8									1		1		SE	Bystander												21 bystanders next to scheme	villains2,jpg	7 4			Infiltrate the Lair with Spies	""	56
Intergalactic Kree Nega-Bomb	GG	8									2				HK													6 bystanders in separate pile	gotg,jpg	2 3			Intergalactic Kree Nega-Bomb	""	57
Invade the Daily Bugle News HQ	PTT	8													O	villains in hq				1								6 henchmen in hero deck	pttr,jpg	4 3			Invade the Daily Bugle News HQ	""	58
Invasion of the Venom Symbiotes	VE	8											1		VE					1									venom,png	1 4			Invasion of the Venom Symbiotes	Symbiote Bond	59
Invincible Force Field	FF	7													LT														pttr,jpg	5 7			Invincible Force Field	""	60
Last Stand at Avengers Tower	FI	6									2				HK														fearitself,jpg	1 1			Last Stand at Avengers Tower	""	61
Massive Earthquake Generator	DC	8			2						2				HK														darkcity,jpg	3 5			Massive Earthquake Generator	""	62
Mass Produce War Machine Armor	V	8											1		SE	S.H.I.E.L.D. Assault Squad						S.H.I.E.L.D. Assault Squad							villains2,jpg	4 4			Mass Produce War Machine Armor	""	63
Master of Tyrants	SW1	8											1		SE	Tactics	3 extra masterminds (tactics only)											3 extra masterminds, put tactics in villain deck	sw1,jpg	3 5			Master of Tyrants	""	64
Master the Mysteries of Kung-Fu	SW2	8											2		VE														sw2,jpg	2 7			Master the Mysteries of Kung-Fu	Circle of Kung Fu	65
Maximum Carnage	VE	10								2			1		SE	Bystander	6 wounds per player								6*				venom,png	2 4			Maximum Carnage	""	66
Midtown Bank Robbery	B	8											1	1	SE	Bystander								12					base2,jpg	1 4			Midtown Bank Robbery	""	67
Mutant-Hunting Super Sentinels	XM	9											2		SE	Sentinel				1		Sentinel							xmen,jpg	4 3			Mutant-Hunting Super Sentinels	""	68
Mutating Gamma Rays	WW	7													LT		Hulk in extra deck											Add extra hulk in separate deck	hulk,jpg	1 4			Mutating Gamma Rays	""	69
Negative Zone Prison Breakout	B	8											1		VE					1									base2,jpg	2 4			Negative Zone Prison Breakout	""	70
Nitro the Supervillain Threatens Crowds	CW	8										1		1	SE	Bystander													civilwar,jpg	4 2			Nitro the Supervillain Threatens Crowds	""	71
Nuclear Armageddon	XM	5													LT														xmen,jpg	8 2			Nuclear Armageddon	""	72
Organized Crime Wave	DC	8											2		SE	Maggia Goons						Maggia Goons							darkcity,jpg	9 5			Organized Crime Wave	""	73
Pan-Dimensional Plague	SW1	10								2					WO		30 wounds only								30				sw1,jpg	10 4			Pan-Dimensional Plague	""	74
Paralyzing Venom	VE	6												1	LT														venom,png	3 4			Paralyzing Venom	""	75
Portals to the Dark Dimension	B	7													LT														base2,jpg	10 3			Portals to the Dark Dimension	""	76
Predict Future Crime	CW	6											2		VE				1										civilwar,jpg	5 2			Predict Future Crime	""	77
Pull Earth into Medieval Times	AM	9											1		VE														antman,jpg	4 4			Pull Earth into Medieval Times	Chivalrous Duel	78
Pull Reality Into the Negative Zone	FF	8													LT														pttr,jpg	3 7			Pull Reality Into the Negative Zone	""	79
Ragnarok, Twilight of the Gods	HOA	11											1		O														hoa,png	2 1			Ragnarok, Twilight of the Gods	""	80
Replace Earth's Leaders with Killbots	B	5												1	SE	Bystander								18				3 twists next to scheme	base2,jpg	8 3			Replace Earth's Leaders with Killbots	""	81
Resurrect Heroes with Norn Stones	V	8											2		VE														villains2,jpg	1 5			Resurrect Heroes with Norn Stones	""	82
Reveal Heroes' Secret Identities	CW	6													LT			2:2;5:1											civilwar,jpg	3 2			Reveal Heroes' Secret Identities	""	83
Ruin the Perfect Wedding	ROK	11											2		O														roksch,jpg	NE			Ruin the Perfect Wedding	""	84
Save Humanity	DC	8				2						1		1	SE	Bystander													darkcity,jpg	6 5			Save Humanity	""	85
Scavenge Alien Weaponry	HC	7											2		VE					1								identify which group is the smugglers	homecoming,jpg	6 3			Scavenge Alien Weaponry	Striker	86
Secret Empire of Betrayal	AOS	11								1					LT													Choose extra hero and pick 5 cards with cost <5	officers,png	5 3			Secret Empire of Betrayal	""	87
Secret HYDRA Corruption	R	2:9;4:11													O		Shield Officers next to scheme or gone											only 30 officers	shydra,png	1	hydrat,png	1	Secret HYDRA Corruption	""	88
Secret Invasion of the Skrull Shapeshifters	B	8											1		SE	Heroes	Interacts strongly wit dominate and such	2:1;5:0					Skrulls					Shuffle 12 hero cards in villain deck	base2,jpg	6 3			Secret Invasion of the Skrull Shapeshifters	""	89
Secret Wars	SW2	8													LT		Three extra masterminds												sw2,jpg	3 7			Secret Wars	""	90
S.H.I.E.L.D. vs. HYDRA War	AOS	7													SE	Shield Officer													officers,png	8 3			S.H.I.E.L.D. vs. HYDRA War	Undercover|HYDRA Level	91
Shoot Hulk into Space	WW	8													LT		Hulk in extra deck											Put Hulk in extra deck	hulk,jpg	5 3			Shoot Hulk into Space	""	92
Silence the Witnesses	N	6												1	SE	Bystander													noir,jpg	7 5			Silence the Witnesses	Hidden Witness	93
Sinister Ambitions	SW2	6											1		SE	Ambition												ambition cards in villain deck	sw2,jpg	7 7			Sinister Ambitions	""	94
Smash Two Dimensions Together	SW1	8											2		VE				1									City modified	sw1,jpg	9 4			Smash Two Dimensions Together	""	95
Splice Humans with Spider DNA	PTT	8											1		SE	Sinister Six							Sinister Six						pttr,jpg	5 3			Splice Humans with Spider DNA	Wall-Crawl	96
Steal All Oxygen on Earth	CH	8									2				HK														champions,jpg	6 3			Steal All Oxygen on Earth	""	97
Steal the Weaponized Plutonium	DC	8													VE				1										darkcity,jpg	10 5			Steal the Weaponized Plutonium	""	98
Subjugate with Obedience Disks	WW	11													LT														hulk,jpg	4 3			Subjugate with Obedience Disks	""	99
Super Hero Civil War	B	2:8;4:5									2				HK			2:-1;3:0											base2,jpg	3 4			Super Hero Civil War	""	100
Superhuman Baseball Game	NM	9											2		VE				1									Villain deck moved off board, city modified	nmschemes,png	4 1			Superhuman Baseball Game	""	101
Symbiotic Absorption	VE	11													LT		Extra mastermind and his group		1									add extra mastermind with its villain group	venom,png	4 4			Symbiotic Absorption	""	102
Televised Deathtraps of Mojoworld	XM	11								2					WO										6*				xmen,jpg	3 3			Televised Deathtraps of Mojoworld	""	103
The Clone Saga	PTT	8											1		VE														pttr,jpg	6 3			The Clone Saga	""	104
The Contest of Champions	ITC	11													O			1											itc,png	8 4			The Contest of Champions	Contest of Champions	105
The Dark Phoenix Saga	XM	10											1		SE	Jean Grey							Hellfire Club					Jean Grey in villain deck	xmen,jpg	10 2			The Dark Phoenix Saga	""	106
The Dark World of Svartalfheim	HOA	10													LT														hoa,png	3 1			The Dark World of Svartalfheim	""	107
The Demon Bear Saga	NM	8													SE	Demon Bear							Demons of Limbo					Demon Bear next to scheme	nmschemes,png	3 1			The Demon Bear Saga	""	108
The Fountain of Eternal Life	SW2	8											2		VE		Also LT												sw2,jpg	6 7			The Fountain of Eternal Life	Fateful Resurrection	109
The God-Emperor of Battleworld	SW2	8					1								LT														sw2,jpg	5 7			The God-Emperor of Battleworld	""	110
The Korvac Saga	R	8						Avengers	1	1					LT		Transforms into Korvac villain. Game ends when beaten.												korvac,png	1	korvact,png	1	The Korvac Saga	""	111
The Kree-Skrull War	GG	8													VE		Kree Starforce and Skrulls as villains						Skrulls;Kree Starforce						gotg,jpg	1 3			The Kree-Skrull War	""	112
The Legacy Virus	B	8					2			2					WO										6*				base2,jpg	4 4			The Legacy Virus	""	113
The Mark of Khonshu	SW2	10											2		SE	Khonshu						Khonshu Guardians						Extra hero in villain deck	sw2,jpg	4 7			The Mark of Khonshu	""	114
The Traitor	FI	8													LT											x			fearitself,jpg	2 1			The Traitor	""	115
The Unbreakable Enigma Code	C75	6													LT											x			c75,jpg	2 5			The Unbreakable Enigma Code	""	116
Tornado of Terrigen Mists	ROK	10													LT													Put player tokens into the sewers	roksch,jpg	SE			Tornado of Terrigen Mists	""	117
Transform Citizens Into Demons	DC	8											1		SE	Jean Grey								x				jean grey in villain deck	darkcity,jpg	5 5			Transform Citizens Into Demons	""	118
Transform Commuters into Giant Ants	AM	2:8;3:9;4:10;5:11													O		Twists is nr of players +6												antman,jpg	10 5			Transform Commuters into Giant Ants	""	119
Trap Heroes in the Microverse	AM	11											1		VE													extra hero in villain deck	antman,jpg	5 4			Trap Heroes in the Microverse	Size-Changing	120
Trapped in the Insane Asylum	NM	2:5;3:7;4:9;5:11													LT														nmschemes,png	2 1			Trapped in the Insane Asylum	""	121
Turn the Soul of Adam Warlock	ITC	14													O														itc,png	7 4			Turn the Soul of Adam Warlock	""	122
Unite the Shards	GG	2:7;3:8;4:9;5:10													O		Interacts poorly with a lot of shards heroes												gotg,jpg	10 2			Unite the Shards	Shard	123
United States Split by Civil War	CW	10													O		City manipulation												civilwar,jpg	2 2			United States Split by Civil War	""	124
Unleash the Power of the Cosmic Cube	B	8													LT														base2,jpg	7 3			Unleash the Power of the Cosmic Cube	""	125
War of Kings	ROK	11													O		Can't pay war's wage												roksch,jpg	NW			War of Kings	Throne's Favor	126
War of the Frost Giants	HOA	9											2		SE	Scheme Twist													hoa,png	1 1			War of the Frost Giants	Worthy	127
Weave a Web of Lies	PTT	7													LT														pttr,jpg	3 3			Weave a Web of Lies	""	128
World War Hulk	WW	9													LT		Three extra masterminds (lurking)											three extra masterminds	hulk,jpg	7 3			World War Hulk	""	129
X-Cutioner's Song	DC	8									2				HK		Also escaping with heroes							x				extra hero in villain deck	darkcity,jpg	4 5			X-Cutioner's Song	""	130
X-Men Danger Room Goes Berserk	XM	8													LT														xmen,jpg	9 2			X-Men Danger Room Goes Berserk	Trap	131
